"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Anchovy

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.763681411743164,11.749719619750977,-9999,-9999,11.961508750915527,11.82443618774414,-9999,-9999,-9999
-9999,-9999,-9999,-9999,11.845132827758789,11.92152214050293,12.05858325958252,12.08601188659668,12.044316291809082,12.018699645996094,11.842460632324219,11.87792682647705,11.993117332458496,12.094864845275879,12.103047370910645,12.055547714233398,11.962794303894043,11.906230926513672,-9999,-9999
-9999,-9999,-9999,11.986749649047852,11.997148513793945,11.981406211853027,11.976638793945312,11.917449951171875,11.854743957519531,11.78817367553711,11.780734062194824,11.84067153930664,11.972550392150879,12.097207069396973,12.227877616882324,12.275026321411133,12.266369819641113,12.254833221435547,-9999,-9999
-9999,-9999,-9999,12.133336067199707,12.054329872131348,11.95692253112793,11.694878578186035,11.441108703613281,11.178387641906738,10.906421661376953,10.681486129760742,10.624253273010254,10.809761047363281,11.198687553405762,11.672552108764648,12.101072311401367,12.49018383026123,12.821993827819824,-9999,-9999
-9999,-9999,12.415977478027344,12.322334289550781,12.083931922912598,11.595452308654785,10.640268325805664,10.056536674499512,9.48321533203125,8.804628372192383,8.119707107543945,7.799784183502197,7.983612060546875,8.703774452209473,9.68480110168457,10.727252960205078,12.129305839538574,12.870284080505371,13.06556224822998,-9999
-9999,-9999,12.610246658325195,12.370368003845215,11.886007308959961,10.81572151184082,9.920245170593262,9.063358306884766,8.068917274475098,6.927153587341309,5.894176483154297,5.3645148277282715,5.496385097503662,6.315371513366699,7.620494365692139,9.205638885498047,11.084866523742676,12.25933837890625,12.795534133911133,-9999
-9999,-9999,13.066607475280762,12.498433113098145,11.364295959472656,10.355752944946289,9.275412559509277,8.041048049926758,6.675900459289551,5.324352741241455,4.294387340545654,3.7461886405944824,3.790602922439575,4.445104598999023,5.656156539916992,7.2696356773376465,9.029523849487305,10.795477867126465,11.67911148071289,-9999
-9999,14.360804557800293,13.792251586914062,12.303647994995117,11.143868446350098,9.847818374633789,8.332979202270508,6.6851487159729,5.136198043823242,3.892209768295288,3.0815398693084717,2.668417453765869,2.6442959308624268,3.069612503051758,3.9440970420837402,5.275386810302734,6.88695764541626,8.438780784606934,9.638909339904785,-9999
-9999,14.98723030090332,14.318397521972656,12.428765296936035,10.77972412109375,8.902315139770508,6.895092964172363,5.005439758300781,3.5380637645721436,2.587677478790283,2.072051763534546,1.8201560974121094,1.8045963048934937,2.034353017807007,2.5927236080169678,3.5181970596313477,4.816427707672119,6.153020858764648,7.157961845397949,-9999
