"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Benthos

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.39824104309082,27.398900985717773,-9999,-9999,27.417268753051758,27.48069953918457,-9999,-9999,-9999
-9999,-9999,-9999,-9999,27.42315673828125,27.33832359313965,27.209896087646484,27.117446899414062,27.076784133911133,27.082033157348633,27.167970657348633,27.24341583251953,27.216047286987305,27.13257598876953,27.16351890563965,27.28386688232422,27.368427276611328,27.389493942260742,-9999,-9999
-9999,-9999,-9999,27.445369720458984,27.404571533203125,27.338912963867188,27.256366729736328,27.200660705566406,27.182048797607422,27.192129135131836,27.21371078491211,27.217010498046875,27.167421340942383,27.10503387451172,27.08354377746582,27.125417709350586,27.163055419921875,27.16847801208496,-9999,-9999
-9999,-9999,-9999,27.424293518066406,27.409650802612305,27.392240524291992,27.40742301940918,27.45677947998047,27.521480560302734,27.5811767578125,27.619657516479492,27.617023468017578,27.548524856567383,27.43070411682129,27.283227920532227,27.141918182373047,26.997539520263672,26.87453269958496,-9999,-9999
-9999,-9999,27.423442840576172,27.416866302490234,27.449304580688477,27.560184478759766,27.780614852905273,27.996532440185547,28.199790954589844,28.38303565979004,28.50835418701172,28.5457763671875,28.465824127197266,28.267650604248047,27.958271026611328,27.575000762939453,27.136545181274414,26.809030532836914,26.64724349975586,-9999
-9999,-9999,27.33844566345215,27.39972496032715,27.533401489257812,27.811492919921875,28.187524795532227,28.584110260009766,28.969680786132812,29.299938201904297,29.511518478393555,29.580427169799805,29.504838943481445,29.26709747314453,28.835865020751953,28.291959762573242,27.658950805664062,27.158048629760742,26.891782760620117,-9999
-9999,-9999,27.121442794799805,27.303131103515625,27.61060333251953,28.05561065673828,28.601123809814453,29.186979293823242,29.737640380859375,30.1683406829834,30.427268981933594,30.51093864440918,30.447011947631836,30.226470947265625,29.808622360229492,29.21754264831543,28.529483795166016,27.89815902709961,27.52964210510254,-9999
-9999,26.48914337158203,26.771385192871094,27.185914993286133,27.684280395507812,28.33184814453125,29.077695846557617,29.819311141967773,30.451919555664062,30.906513214111328,31.172321319580078,31.263591766357422,31.209369659423828,31.018674850463867,30.661771774291992,30.135297775268555,29.53445816040039,28.9395751953125,28.537324905395508,-9999
-9999,26.22396469116211,26.512794494628906,27.107433319091797,27.866647720336914,28.749814987182617,29.658037185668945,30.46044158935547,31.0753116607666,31.4937686920166,31.7409725189209,31.83084487915039,31.787092208862305,31.629241943359375,31.353540420532227,30.952247619628906,30.4970760345459,30.020729064941406,29.683216094970703,-9999
-9999,25.968429565429688,26.374534606933594,27.22928810119629,28.251535415649414,29.316810607910156,30.289920806884766,31.060035705566406,31.610132217407227,31.979679107666016,32.198726654052734,32.27602767944336,32.2310791015625,32.10610580444336,31.910423278808594,31.633596420288086,31.312692642211914,30.972278594970703,30.73859405517578,-9999
