"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Cod

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2308148443698883,0.2271428108215332,-9999,-9999,0.2018464356660843,0.18875707685947418,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.20138755440711975,0.2203894704580307,0.2561197876930237,0.29109570384025574,0.3196992874145508,0.3411746919155121,0.31667739152908325,0.29338183999061584,0.29484137892723083,0.30115437507629395,0.27253198623657227,0.23255136609077454,0.2087702602148056,0.1982031613588333,-9999,-9999
-9999,-9999,-9999,0.19864684343338013,0.21446290612220764,0.24095365405082703,0.28252023458480835,0.329016774892807,0.3818292021751404,0.42977461218833923,0.4640716016292572,0.4691927134990692,0.46465954184532166,0.4298437833786011,0.3754488527774811,0.3122572898864746,0.26540490984916687,0.24215534329414368,-9999,-9999
-9999,-9999,-9999,0.21046917140483856,0.23326373100280762,0.2823013663291931,0.3482077419757843,0.43104422092437744,0.5371145606040955,0.6758607029914856,0.8121195435523987,0.8833221793174744,0.8648481965065002,0.749825656414032,0.6155262589454651,0.4806946814060211,0.3862992227077484,0.3629893362522125,-9999,-9999
-9999,-9999,0.20157559216022491,0.22531430423259735,0.26858970522880554,0.34147509932518005,0.43969082832336426,0.5738663077354431,0.7802411317825317,1.051037311553955,1.3437360525131226,1.5018889904022217,1.4927486181259155,1.2882134914398193,1.010952353477478,0.7668899297714233,0.5996807813644409,0.5383358597755432,0.5149195790290833,-9999
-9999,-9999,0.2198939323425293,0.2511151432991028,0.32558393478393555,0.4387015104293823,0.5860118269920349,0.799578070640564,1.1156237125396729,1.5250606536865234,1.9489284753799438,2.2107346057891846,2.2213430404663086,1.9788798093795776,1.6199588775634766,1.226377248764038,0.9472799897193909,0.7800078392028809,0.7186140418052673,-9999
-9999,-9999,0.267366498708725,0.3214379847049713,0.44031375646591187,0.6116172671318054,0.8492798209190369,1.1709085702896118,1.5797090530395508,2.0633976459503174,2.495732069015503,2.7934110164642334,2.847730875015259,2.653759717941284,2.286928176879883,1.847557783126831,1.4704663753509521,1.2036590576171875,1.0970827341079712,-9999
-9999,0.30163657665252686,0.3494108021259308,0.4508049190044403,0.6527771949768066,0.9435037970542908,1.3097501993179321,1.7685050964355469,2.2612416744232178,2.7237040996551514,3.076242208480835,3.317887306213379,3.417452335357666,3.3151721954345703,3.053161382675171,2.6632001399993896,2.173006534576416,1.815901517868042,1.6616519689559937,-9999
-9999,0.38612493872642517,0.46740201115608215,0.6696810722351074,1.003279685974121,1.4567673206329346,2.00472354888916,2.6035051345825195,3.1344592571258545,3.5155673027038574,3.74151873588562,3.9050276279449463,3.9960849285125732,3.9874730110168457,3.829896926879883,3.5478413105010986,3.038902759552002,2.63079571723938,2.447328567504883,-9999
-9999,0.5657716989517212,0.69143146276474,0.9910045266151428,1.446049690246582,2.047839403152466,2.764354705810547,3.473421096801758,3.9814071655273438,4.268189430236816,4.422560214996338,4.538789749145508,4.644939422607422,4.676355361938477,4.592533111572266,4.377701282501221,3.9989547729492188,3.6060550212860107,3.415585517883301,-9999
-9999,0.8845261335372925,1.0547901391983032,1.460313081741333,2.019134044647217,2.7012200355529785,3.475391149520874,4.156142234802246,4.555334568023682,4.734625816345215,4.82997989654541,4.949305534362793,5.149209499359131,5.224405288696289,5.161566257476807,5.113896369934082,4.831597805023193,4.541438579559326,4.382151126861572,-9999
-9999,1.3958929777145386,1.6367230415344238,2.1644375324249268,2.7697651386260986,3.4400908946990967,4.113649368286133,4.625590801239014,4.830709934234619,4.847830295562744,4.846119403839111,4.906027317047119,5.071742057800293,5.1361083984375,5.159769058227539,5.123221397399902,5.124557018280029,5.062914848327637,4.960155487060547,-9999
-9999,2.086613416671753,2.3944718837738037,3.0277652740478516,3.65990948677063,4.216563701629639,4.6574320793151855,4.8861470222473145,4.87378454208374,4.757026672363281,4.647008419036865,4.5825605392456055,4.586671352386475,4.530792236328125,4.476828575134277,4.470841884613037,4.646316051483154,4.936811923980713,4.954512596130371,-9999
-9999,2.766295909881592,3.110182762145996,3.8067407608032227,4.401664733886719,4.766197204589844,4.930828094482422,4.9118971824646,4.765185356140137,4.5797295570373535,4.411345481872559,4.213374137878418,4.001338481903076,3.7865993976593018,3.6220593452453613,3.547546148300171,3.6014537811279297,4.028130531311035,-9999,-9999
-9999,3.2328474521636963,3.6034443378448486,4.296544075012207,4.776083469390869,4.942852020263672,4.901404857635498,4.744458198547363,4.565924644470215,4.3888020515441895,4.238516807556152,3.9631261825561523,3.6060218811035156,3.2031149864196777,2.910491466522217,2.667933464050293,2.519312858581543,2.2449638843536377,-9999,-9999
