"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Detritus

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.052933692932129,10.057596206665039,-9999,-9999,9.970039367675781,9.99152660369873,-9999,-9999,-9999
-9999,-9999,-9999,-9999,9.975508689880371,9.977004051208496,9.96932315826416,9.981833457946777,10.001728057861328,10.008438110351562,10.05743408203125,10.042648315429688,10.021288871765137,10.018199920654297,10.016855239868164,9.996175765991211,10.002445220947266,10.023517608642578,-9999,-9999
-9999,-9999,-9999,9.960404396057129,9.957144737243652,9.968542098999023,9.98156452178955,9.99767780303955,9.998438835144043,9.992741584777832,9.977988243103027,9.964993476867676,9.953574180603027,9.967595100402832,9.973712921142578,9.978095054626465,9.990262985229492,10.007218360900879,-9999,-9999
-9999,-9999,-9999,9.961963653564453,9.972273826599121,9.984042167663574,10.019786834716797,10.028160095214844,10.01554012298584,9.981708526611328,9.944066047668457,9.923334121704102,9.921368598937988,9.946348190307617,9.963876724243164,9.981797218322754,9.976057052612305,9.944601058959961,-9999,-9999
-9999,-9999,9.979462623596191,9.97449016571045,10.001357078552246,10.063895225524902,10.185698509216309,10.195351600646973,10.158400535583496,10.112629890441895,10.072430610656738,10.05912971496582,10.060358047485352,10.08406925201416,10.109993934631348,10.108386039733887,9.98787784576416,9.939772605895996,9.977609634399414,-9999
-9999,-9999,9.994634628295898,10.018808364868164,10.071830749511719,10.198838233947754,10.241127014160156,10.229708671569824,10.19670581817627,10.165952682495117,10.140032768249512,10.128693580627441,10.13305950164795,10.14918041229248,10.151100158691406,10.135186195373535,10.005585670471191,9.944578170776367,9.929959297180176,-9999
-9999,-9999,9.990796089172363,10.055961608886719,10.184684753417969,10.227485656738281,10.22749137878418,10.215667724609375,10.207901000976562,10.200490951538086,10.195545196533203,10.189756393432617,10.192451477050781,10.200571060180664,10.19952392578125,10.178287506103516,10.112896919250488,9.989023208618164,9.929883003234863,-9999
-9999,9.926264762878418,9.950737953186035,10.135059356689453,10.185613632202148,10.190186500549316,10.19483757019043,10.203277587890625,10.217015266418457,10.228818893432617,10.23829460144043,10.241905212402344,10.241780281066895,10.243005752563477,10.235895156860352,10.210838317871094,10.1791410446167,10.111096382141113,10.00284194946289,-9999
-9999,9.854167938232422,9.900554656982422,10.093952178955078,10.137941360473633,10.159363746643066,10.185256958007812,10.213227272033691,10.236641883850098,10.254608154296875,10.269655227661133,10.277030944824219,10.278335571289062,10.275337219238281,10.267542839050293,10.244525909423828,10.225848197937012,10.1751070022583,10.093791007995605,-9999
-9999,9.750567436218262,9.818100929260254,10.033991813659668,10.111909866333008,10.160262107849121,10.20429801940918,10.239996910095215,10.263971328735352,10.280279159545898,10.29051399230957,10.2943696975708,10.291720390319824,10.289286613464355,10.286619186401367,10.276372909545898,10.260958671569824,10.216815948486328,10.18450927734375,-9999
-9999,9.666855812072754,9.752775192260742,9.999248504638672,10.109415054321289,10.177935600280762,10.231232643127441,10.268664360046387,10.293350219726562,10.309253692626953,10.31346321105957,10.308100700378418,10.285693168640137,10.281198501586914,10.290958404541016,10.278011322021484,10.280928611755371,10.264612197875977,10.259990692138672,-9999
-9999,9.653327941894531,9.758459091186523,10.016279220581055,10.138211250305176,10.20865249633789,10.25680160522461,10.291357040405273,10.318883895874023,10.335489273071289,10.340961456298828,10.334097862243652,10.311670303344727,10.30594253540039,10.303686141967773,10.309185028076172,10.297847747802734,10.288398742675781,10.30622386932373,-9999
-9999,9.742815017700195,9.85239028930664,10.086050033569336,10.196541786193848,10.250716209411621,10.28348445892334,10.309881210327148,10.334524154663086,10.349150657653809,10.354287147521973,10.352202415466309,10.342001914978027,10.343969345092773,10.350286483764648,10.354835510253906,10.33639144897461,10.300307273864746,10.35892105102539,-9999
-9999,9.866902351379395,9.965410232543945,10.163901329040527,10.25763988494873,10.295104026794434,10.313505172729492,10.329402923583984,10.34207820892334,10.349499702453613,10.34931468963623,10.352659225463867,10.35882568359375,10.368492126464844,10.378755569458008,10.384533882141113,10.382362365722656,10.31566047668457,-9999,-9999
-9999,9.952713012695312,10.0421781539917,10.213810920715332,10.296454429626465,10.329751968383789,10.338808059692383,10.343758583068848,10.341818809509277,10.337079048156738,10.324840545654297,10.328598976135254,10.342405319213867,10.364710807800293,10.378151893615723,10.394340515136719,10.406773567199707,10.450485229492188,-9999,-9999
-9999,10.01387882232666,10.099703788757324,10.23884391784668,10.31363296508789,10.352092742919922,10.357270240783691,10.356023788452148,10.344806671142578,10.329580307006836,10.322174072265625,10.326055526733398,10.338957786560059,10.356074333190918,10.371671676635742,10.387490272521973,10.40014934539795,10.409111976623535,10.365189552307129,10.371784210205078
-9999,-9999,10.161563873291016,10.25323486328125,10.32099437713623,10.359233856201172,10.370041847229004,10.366360664367676,10.348281860351562,10.337759971618652,10.330238342285156,10.331472396850586,10.337690353393555,10.354037284851074,10.36613941192627,10.373649597167969,10.384510040283203,10.388949394226074,10.38524055480957,10.366483688354492
-9999,-9999,10.235726356506348,10.274742126464844,10.33061408996582,10.37177562713623,10.388481140136719,10.38755989074707,10.372118949890137,10.35908031463623,10.34325885772705,10.342718124389648,10.348026275634766,10.359903335571289,10.364407539367676,10.36607551574707,10.370906829833984,10.373434066772461,10.355587005615234,10.347350120544434
-9999,-9999,-9999,10.283491134643555,10.332269668579102,10.372354507446289,10.39370346069336,10.393678665161133,10.376225471496582,10.360612869262695,10.347116470336914,10.3397855758667,10.345329284667969,10.355785369873047,10.362159729003906,10.357436180114746,10.366881370544434,10.352724075317383,10.342470169067383,10.338098526000977

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.056775093078613,10.061286926269531,-9999,-9999,9.971535682678223,9.99299144744873,-9999,-9999,-9999
-9999,-9999,-9999,-9999,9.980060577392578,9.981786727905273,9.974440574645996,9.987188339233398,10.006868362426758,10.012744903564453,10.0615234375,10.046515464782715,10.024796485900879,10.021239280700684,10.019439697265625,9.998125076293945,10.00423526763916,10.025416374206543,-9999,-9999
-9999,-9999,-9999,9.964776039123535,9.96164321899414,9.973249435424805,9.986417770385742,10.002485275268555,10.002289772033691,9.99629020690918,9.98129653930664,9.967920303344727,9.956085205078125,9.96973705291748,9.976165771484375,9.980269432067871,9.992470741271973,10.00948715209961,-9999,-9999
-9999,-9999,-9999,9.966330528259277,9.97673511505127,9.988473892211914,10.023613929748535,10.031221389770508,10.018503189086914,9.984761238098145,9.947078704833984,9.92609977722168,9.923742294311523,9.948260307312012,9.965524673461914,9.983436584472656,9.97866153717041,9.947627067565918,-9999,-9999
-9999,-9999,9.983698844909668,9.978805541992188,10.005636215209961,10.06751823425293,10.187095642089844,10.196321487426758,10.159504890441895,10.11402416229248,10.074103355407715,10.06083869934082,10.061880111694336,10.085161209106445,10.110753059387207,10.10936450958252,9.990423202514648,9.943419456481934,9.982587814331055,-9999
-9999,-9999,9.998760223388672,10.022978782653809,10.075616836547852,10.20055103302002,10.242015838623047,10.230463027954102,10.197582244873047,10.167181015014648,10.14175796508789,10.130675315856934,10.134968757629395,10.150693893432617,10.152172088623047,10.136653900146484,10.008604049682617,9.948748588562012,9.934882164001465,-9999
-9999,-9999,9.99466609954834,10.0597562789917,10.187601089477539,10.228979110717773,10.228567123413086,10.216632843017578,10.208984375,10.201860427856445,10.197227478027344,10.191697120666504,10.194422721862793,10.202354431152344,10.201128005981445,10.18015193939209,10.115662574768066,9.993349075317383,9.93510627746582,-9999
-9999,9.929201126098633,9.9540376663208,10.138006210327148,10.187630653381348,10.191723823547363,10.196088790893555,10.204490661621094,10.218302726745605,10.230240821838379,10.239812850952148,10.243535995483398,10.24354362487793,10.244794845581055,10.23771858215332,10.212663650512695,10.181877136230469,10.11484146118164,10.007881164550781,-9999
-9999,9.856815338134766,9.903341293334961,10.096137046813965,10.139745712280273,10.16090202331543,10.186613082885742,10.214584350585938,10.238057136535645,10.256019592285156,10.270978927612305,10.27835750579834,10.279764175415039,10.276970863342285,10.269383430480957,10.246408462524414,10.228583335876465,10.17872142791748,10.09843921661377,-9999
-9999,9.752838134765625,9.820329666137695,10.035787582397461,10.11341667175293,10.161527633666992,10.205551147460938,10.241395950317383,10.265410423278809,10.281624794006348,10.291751861572266,10.295565605163574,10.292943954467773,10.290757179260254,10.288529396057129,10.27865982055664,10.263922691345215,10.220499038696289,10.188774108886719,-9999
-9999,9.668176651000977,9.754055976867676,10.000577926635742,10.110538482666016,10.178882598876953,10.232322692871094,10.269953727722168,10.29458236694336,10.310301780700684,10.314414978027344,10.30899715423584,10.286185264587402,10.281939506530762,10.292635917663574,10.28012752532959,10.284124374389648,10.268413543701172,10.264117240905762,-9999
-9999,9.653885841369629,9.759114265441895,10.01731014251709,10.139106750488281,10.209470748901367,10.257804870605469,10.292488098144531,10.319785118103027,10.336095809936523,10.341429710388184,10.334518432617188,10.311647415161133,10.306097984313965,10.304559707641602,10.311389923095703,10.301213264465332,10.292440414428711,10.31027603149414,-9999
-9999,9.743047714233398,9.852819442749023,10.087139129638672,10.19762134552002,10.251760482788086,10.284566879272461,10.310851097106934,10.335128784179688,10.34945011138916,10.354450225830078,10.352295875549316,10.34172248840332,10.343809127807617,10.350543022155762,10.356301307678223,10.339137077331543,10.30428409576416,10.362428665161133,-9999
-9999,9.867100715637207,9.965845108032227,10.165255546569824,10.259096145629883,10.296368598937988,10.314529418945312,10.330124855041504,10.34248161315918,10.349671363830566,10.349357604980469,10.352633476257324,10.358781814575195,10.368559837341309,10.378763198852539,10.38510799407959,10.38402271270752,10.318910598754883,-9999,-9999
-9999,9.952750205993652,10.04250431060791,10.215239524841309,10.297954559326172,10.330897331237793,10.339559555053711,10.344207763671875,10.342110633850098,10.337203025817871,10.324674606323242,10.328389167785645,10.342277526855469,10.364871978759766,10.378303527832031,10.39481258392334,10.407812118530273,10.451330184936523,-9999,-9999
-9999,10.014131546020508,10.099926948547363,10.2401123046875,10.31507682800293,10.353050231933594,10.357749938964844,10.356197357177734,10.344836235046387,10.329317092895508,10.321927070617676,10.325907707214355,10.338918685913086,10.356351852416992,10.37210464477539,10.388178825378418,10.401193618774414,10.410480499267578,10.367289543151855,10.374011993408203
-9999,-9999,10.161614418029785,10.254380226135254,10.322446823120117,10.360122680664062,10.370318412780762,10.366243362426758,10.347867012023926,10.33736801147461,10.330012321472168,10.331371307373047,10.337709426879883,10.35417366027832,10.366470336914062,10.374292373657227,10.385481834411621,10.39034366607666,10.386934280395508,10.368387222290039
-9999,-9999,10.236660957336426,10.275982856750488,10.33205795288086,10.372537612915039,10.388484001159668,10.387133598327637,10.371426582336426,10.35854721069336,10.343023300170898,10.342631340026855,10.34804916381836,10.36003303527832,10.36474895477295,10.366751670837402,10.37182903289795,10.374584197998047,10.356982231140137,10.34886646270752
