"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Mackerel

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7982449531555176,2.8119497299194336,-9999,-9999,3.154961585998535,3.1779792308807373,-9999,-9999,-9999
-9999,-9999,-9999,-9999,3.0098519325256348,2.9272682666778564,2.811736822128296,2.6972930431365967,2.607171058654785,2.556347608566284,2.555309295654297,2.63102388381958,2.6745004653930664,2.705523729324341,2.807729482650757,2.973299264907837,3.0562903881073,3.0726048946380615,-9999,-9999
-9999,-9999,-9999,2.980945587158203,2.9161412715911865,2.7799901962280273,2.623915672302246,2.48810076713562,2.388587474822998,2.330636501312256,2.31645131111145,2.3449995517730713,2.392443895339966,2.4621083736419678,2.573028326034546,2.7174863815307617,2.851036310195923,2.9313275814056396,-9999,-9999
-9999,-9999,-9999,2.844237804412842,2.7077689170837402,2.49442982673645,2.2622947692871094,2.0955593585968018,1.9869133234024048,1.9243366718292236,1.901301383972168,1.9139879941940308,1.956862211227417,2.033193826675415,2.153918981552124,2.326017141342163,2.5421409606933594,2.6810333728790283,-9999,-9999
-9999,-9999,2.6979329586029053,2.626337766647339,2.400299310684204,2.082278251647949,1.7077709436416626,1.5293952226638794,1.433935523033142,1.3842076063156128,1.3652373552322388,1.3714805841445923,1.4019800424575806,1.4622581005096436,1.5681053400039673,1.7573738098144531,2.137345314025879,2.346369504928589,2.3489043712615967,-9999
-9999,-9999,2.522839069366455,2.3402669429779053,2.0127618312835693,1.5942668914794922,1.3361644744873047,1.1914960145950317,1.1125987768173218,1.072481393814087,1.057241439819336,1.0616247653961182,1.0857897996902466,1.1361051797866821,1.2291035652160645,1.4032431840896606,1.7521183490753174,2.007960319519043,2.1248040199279785,-9999
-9999,-9999,2.282999038696289,1.9984766244888306,1.5652645826339722,1.275917887687683,1.090929627418518,0.9811386466026306,0.919506311416626,0.8877819180488586,0.8755800724029541,0.8789214491844177,0.8983281850814819,0.9388049244880676,1.0115251541137695,1.1374282836914062,1.3462315797805786,1.6411118507385254,1.8082239627838135,-9999
-9999,2.263414144515991,2.081740379333496,1.6171282529830933,1.2903451919555664,1.0724384784698486,0.9332159757614136,0.8490656614303589,0.8006559610366821,0.775188684463501,0.7652990818023682,0.7680288553237915,0.7836182117462158,0.815389096736908,0.8701241612434387,0.9584227800369263,1.0925016403198242,1.2763028144836426,1.4867064952850342,-9999
-9999,2.168747901916504,1.9237614870071411,1.4279403686523438,1.1316970586776733,0.947940468788147,0.8350245952606201,0.766913890838623,0.7270620465278625,0.7055971026420593,0.6970075368881226,0.6989405155181885,0.711352527141571,0.7363811731338501,0.7783872485160828,0.8440486192703247,0.9419199228286743,1.080759048461914,1.2483538389205933,-9999
-9999,2.0449960231781006,1.7918262481689453,1.3123739957809448,1.0364996194839478,0.8724306225776672,0.7746118307113647,0.7159207463264465,0.6812524795532227,0.6622357964515686,0.6542708277702332,0.6552876830101013,0.6650848388671875,0.6851784586906433,0.7188293933868408,0.7716884613037109,0.8538620471954346,0.9868746399879456,1.0887506008148193,-9999
-9999,1.910231351852417,1.6698516607284546,1.2278802394866943,0.9739956855773926,0.8249375820159912,0.736687958240509,0.6838012933731079,0.6524502635002136,0.6350203156471252,0.6273680925369263,0.6275074481964111,0.6351610422134399,0.6515454649925232,0.6792288422584534,0.7228062152862549,0.7906877398490906,0.8982292413711548,0.9732242226600647,-9999
-9999,1.7667438983917236,1.5481009483337402,1.1561870574951172,0.9271864295005798,0.7921504974365234,0.7114973068237305,0.6629586219787598,0.6340880393981934,0.6177783608436584,0.6104134321212769,0.6097932457923889,0.6157564520835876,0.6292659640312195,0.652385950088501,0.6888986825942993,0.7451623678207397,0.8325881958007812,0.8961515426635742,-9999
-9999,1.617553949356079,1.4238370656967163,1.0880436897277832,0.8869048953056335,0.7663514614105225,0.6932336091995239,0.6488006114959717,0.6222197413444519,0.6065967082977295,0.5989799499511719,0.5976899266242981,0.6022987365722656,0.6134369373321533,0.6327587962150574,0.6636123061180115,0.7127128839492798,0.7877986431121826,0.8551710844039917,-9999
-9999,1.474884271621704,1.3043010234832764,1.022029995918274,0.8494588136672974,0.7439709901809692,0.678867518901825,0.6386995315551758,0.6135835647583008,0.5986216068267822,0.5909675359725952,0.5891323685646057,0.5925668478012085,0.6015437841415405,0.6171824932098389,0.6418595314025879,0.6800448298454285,0.7271550893783569,-9999,-9999
-9999,1.3576316833496094,1.2013216018676758,0.9628012776374817,0.8158512115478516,0.724635660648346,0.6673763394355774,0.6305277943611145,0.6071006059646606,0.5928382873535156,0.5852174162864685,0.5828965902328491,0.5852285623550415,0.5921661257743835,0.6042351126670837,0.6227469444274902,0.6498992443084717,0.6769649982452393,-9999,-9999
-9999,1.283145785331726,1.1154870986938477,0.9141587018966675,0.7878618240356445,0.7090482711791992,0.6576826572418213,0.6240830421447754,0.6023092865943909,0.5887534022331238,0.5812342762947083,0.5784868001937866,0.5797900557518005,0.5848405361175537,0.5936822891235352,0.6067142486572266,0.6245253682136536,0.6416058540344238,0.6389219164848328,0.6384835243225098
-9999,-9999,0.9992757439613342,0.8698601722717285,0.7658387422561646,0.6966395378112793,0.6502499580383301,0.6193546652793884,0.5989854335784912,0.586065411567688,0.578642725944519,0.5755290985107422,0.5759562849998474,0.5794503092765808,0.5856813788414001,0.5944036841392517,0.6050600409507751,0.6156772971153259,0.6199390888214111,0.6211986541748047
-9999,-9999,0.9529043436050415,0.8596184253692627,0.7562819123268127,0.689273476600647,0.6455091238021851,0.6163651943206787,0.5969811677932739,0.5845036506652832,0.5771253108978271,0.5737372040748596,0.5735415816307068,0.5759432911872864,0.5804135799407959,0.5864441990852356,0.5932834148406982,0.599509596824646,0.603119432926178,0.6046266555786133
-9999,-9999,-9999,0.8246711492538452,0.7469660639762878,0.684732973575592,0.6429803967475891,0.6148571968078613,0.5960007905960083,0.5837507843971252,0.5764017105102539,0.5728602409362793,0.5723435282707214,0.5741949081420898,0.5778090953826904,0.5825862884521484,0.5878217816352844,0.5924327969551086,0.5954920053482056,0.5969374775886536

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.7446584701538086,2.758631944656372,-9999,-9999,3.106457233428955,3.129859685897827,-9999,-9999,-9999
-9999,-9999,-9999,-9999,2.9563372135162354,2.8738327026367188,2.7586669921875,2.6448538303375244,2.555473804473877,2.505319118499756,2.5048718452453613,2.58024001121521,2.6241559982299805,2.656660795211792,2.7595722675323486,2.9253857135772705,3.008509635925293,3.0249176025390625,-9999,-9999
-9999,-9999,-9999,2.931680917739868,2.8659706115722656,2.730271816253662,2.575258731842041,2.4405415058135986,2.341992139816284,2.2848172187805176,2.2712836265563965,2.300124406814575,2.3478565216064453,2.417843818664551,2.5286202430725098,2.672445774078369,2.804971218109131,2.884558916091919,-9999,-9999
-9999,-9999,-9999,2.799375534057617,2.6633987426757812,2.4518134593963623,2.2222704887390137,2.0573854446411133,1.9500020742416382,1.8883256912231445,1.8659898042678833,1.8790491819381714,1.9219473600387573,1.9978632926940918,2.1174700260162354,2.2874860763549805,2.5004374980926514,2.6372737884521484,-9999,-9999
-9999,-9999,2.6625988483428955,2.5889744758605957,2.3641090393066406,2.049546241760254,1.6804542541503906,1.5043936967849731,1.410185694694519,1.3612251281738281,1.3427655696868896,1.3492403030395508,1.3795709609985352,1.4391250610351562,1.543421745300293,1.729602336883545,2.102884292602539,2.3082942962646484,2.310849189758301,-9999
-9999,-9999,2.492312431335449,2.3103384971618652,1.985548496246338,1.5720676183700562,1.3172308206558228,1.1744552850723267,1.0967975854873657,1.0573759078979492,1.0424314737319946,1.0469353199005127,1.0708376169204712,1.1203253269195557,1.2116605043411255,1.3826398849487305,1.7252588272094727,1.976599931716919,2.0915417671203613,-9999
