"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Phytoplankton

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.010168075561523,19.020002365112305,-9999,-9999,18.99005126953125,18.994953155517578,-9999,-9999,-9999
-9999,-9999,-9999,-9999,18.99104881286621,19.000919342041016,19.00105094909668,19.008289337158203,19.014272689819336,18.999916076660156,19.037885665893555,19.023075103759766,19.0192813873291,19.049156188964844,19.061437606811523,19.03641700744629,19.02806854248047,19.043134689331055,-9999,-9999
-9999,-9999,-9999,19.009817123413086,18.99063491821289,18.98869514465332,18.980445861816406,18.971229553222656,18.9450740814209,18.921424865722656,18.892995834350586,18.89389419555664,18.91008186340332,18.962461471557617,19.00411605834961,19.03639030456543,19.067712783813477,19.100292205810547,-9999,-9999
-9999,-9999,-9999,19.0317325592041,19.010683059692383,18.960039138793945,18.90654182434082,18.83950424194336,18.764238357543945,18.66640281677246,18.57587242126465,18.5423641204834,18.578798294067383,18.691497802734375,18.814945220947266,18.950542449951172,19.073013305664062,19.118303298950195,-9999,-9999
-9999,-9999,19.116064071655273,19.064260482788086,19.0039119720459,18.913291931152344,18.863937377929688,18.72958755493164,18.562267303466797,18.379592895507812,18.210315704345703,18.141122817993164,18.176475524902344,18.33620834350586,18.562686920166016,18.803186416625977,18.9552001953125,19.100006103515625,19.228666305541992,-9999
-9999,-9999,19.163103103637695,19.101884841918945,18.985103607177734,18.896997451782227,18.720014572143555,18.519018173217773,18.290283203125,18.054075241088867,17.84742546081543,17.743188858032227,17.77150535583496,17.93345069885254,18.167970657348633,18.476215362548828,18.706945419311523,18.943363189697266,19.073904037475586,-9999
-9999,-9999,19.2390079498291,19.118921279907227,19.00368309020996,18.787437438964844,18.542448043823242,18.287622451782227,18.036148071289062,17.797199249267578,17.616430282592773,17.514394760131836,17.524341583251953,17.647167205810547,17.858230590820312,18.134702682495117,18.42609405517578,18.63617515563965,18.785558700561523,-9999
-9999,19.540576934814453,19.34210777282715,19.197166442871094,18.915695190429688,18.613534927368164,18.31540870666504,18.026090621948242,17.776226043701172,17.580074310302734,17.45301628112793,17.385215759277344,17.379606246948242,17.45339012145996,17.5963077545166,17.7987060546875,18.069311141967773,18.31053352355957,18.40968894958496,-9999
-9999,19.616239547729492,19.4239501953125,19.15703773498535,18.77176284790039,18.397424697875977,18.049762725830078,17.751413345336914,17.529163360595703,17.388607025146484,17.317707061767578,17.28277015686035,17.2801570892334,17.314838409423828,17.4005069732666,17.53036117553711,17.742286682128906,17.934123992919922,18.01915168762207,-9999
-9999,19.642297744750977,19.421207427978516,19.050580978393555,18.59368324279785,18.173839569091797,17.807756423950195,17.521896362304688,17.339584350585938,17.244855880737305,17.20310401916504,17.18520164489746,17.17998695373535,17.196748733520508,17.245656967163086,17.332916259765625,17.466026306152344,17.590187072753906,17.671049118041992,-9999
-9999,19.560468673706055,19.26652717590332,18.831632614135742,18.351177215576172,17.94219207763672,17.60750961303711,17.36632537841797,17.232086181640625,17.173288345336914,17.145496368408203,17.12612533569336,17.090755462646484,17.09197998046875,17.131418228149414,17.158540725708008,17.2522029876709,17.33747100830078,17.397598266601562,-9999
-9999,19.23959732055664,18.91547203063965,18.48868751525879,18.05264663696289,17.705326080322266,17.43995475769043,17.26486587524414,17.184921264648438,17.15872573852539,17.148387908935547,17.134540557861328,17.1009464263916,17.095216751098633,17.096158981323242,17.122276306152344,17.140209197998047,17.176786422729492,17.229211807250977,-9999
-9999,18.76181411743164,18.477149963378906,18.109086990356445,17.74928855895996,17.484821319580078,17.303892135620117,17.2017765045166,17.168535232543945,17.166372299194336,17.170185089111328,17.170547485351562,17.158912658691406,17.164722442626953,17.174636840820312,17.183012008666992,17.16176414489746,17.117664337158203,17.204668045043945,-9999
-9999,18.337181091308594,18.10219383239746,17.80031967163086,17.518936157226562,17.33287239074707,17.22568130493164,17.1788387298584,17.170869827270508,17.178775787353516,17.185138702392578,17.19983673095703,17.218069076538086,17.238035202026367,17.255455017089844,17.26264762878418,17.263259887695312,17.15506362915039,-9999,-9999
-9999,18.048381805419922,17.84640884399414,17.60250473022461,17.386741638183594,17.262428283691406,17.20147705078125,17.183805465698242,17.179828643798828,17.18266487121582,17.17616844177246,17.196027755737305,17.22967529296875,17.275249481201172,17.30121612548828,17.328521728515625,17.345773696899414,17.424287796020508,-9999,-9999
