"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Seals

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.09641319513320923,0.0964728444814682,-9999,-9999,0.09726927429437637,0.0973379835486412,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.0959123745560646,0.09599464386701584,0.09614616632461548,0.09633328020572662,0.09653264284133911,0.0967196375131607,0.09686718881130219,0.0895787701010704,0.08974956721067429,0.09750888496637344,0.09774075448513031,0.09042388200759888,0.09062115848064423,0.09840171784162521,-9999,-9999
-9999,-9999,-9999,0.09630042314529419,0.08901455998420715,0.07589007169008255,0.0760432556271553,0.07622532546520233,0.07642228901386261,0.07661823183298111,0.07680598646402359,0.07113706320524216,0.07131605595350266,0.07740861177444458,0.07762035727500916,0.07194355875253677,0.07808703184127808,0.09935677796602249,-9999,-9999
-9999,-9999,-9999,0.09672848135232925,0.07626701891422272,0.055675387382507324,0.05146845057606697,0.051640331745147705,0.05182923749089241,0.05202515795826912,0.052220094949007034,0.04848047345876694,0.048644017428159714,0.05276813730597496,0.052965059876441956,0.05322461202740669,0.07949165999889374,0.1010524183511734,-9999,-9999
-9999,-9999,0.09754480421543121,0.09009506553411484,0.07107825577259064,0.04795585572719574,0.02979407086968422,0.029928408563137054,0.030085157603025436,0.030252384021878242,0.03042006678879261,0.028200216591358185,0.028341367840766907,0.03089759312570095,0.031090091913938522,0.05049595236778259,0.07524015009403229,0.09585016965866089,0.10471756011247635,-9999
-9999,-9999,0.0980878695845604,0.07737021148204803,0.056574419140815735,0.03825198858976364,0.021917954087257385,0.014838012866675854,0.01494559831917286,0.015062564052641392,0.015181530267000198,0.014117458835244179,0.014231348410248756,0.015566970221698284,0.02334650605916977,0.04111985117197037,0.06111804023385048,0.0838652104139328,0.1066291332244873,-9999
-9999,-9999,0.09892243146896362,0.07814240455627441,0.052777249366045,0.030448896810412407,0.015001191757619381,0.00737979868426919,0.0063628870993852615,0.006431857123970985,0.006503729615360498,0.0060747223906219006,0.006160303018987179,0.007952651008963585,0.016441646963357925,0.03358645737171173,0.058343008160591125,0.08645559102296829,0.10950277745723724,-9999
-9999,0.10023069381713867,0.09251239150762558,0.07309653609991074,0.04949798434972763,0.028528520837426186,0.014100361615419388,0.005954639986157417,0.002333572367206216,0.0023735403083264828,0.002413554582744837,0.0022595087066292763,0.002512862905859947,0.007165820337831974,0.01718653365969658,0.034936029464006424,0.06046084687113762,0.08933619409799576,0.1129477322101593,-9999
-9999,0.10111476480960846,0.07981816679239273,0.058487553149461746,0.03969554230570793,0.023006537929177284,0.011368164792656898,0.0048112040385603905,0.0017709964886307716,0.001171643496491015,0.001201300765387714,0.0012236987240612507,0.002660250524058938,0.007509089075028896,0.017907653003931046,0.03628121316432953,0.06263827532529831,0.09238801896572113,0.11668382585048676,-9999
