"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Shrimp

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.7223581075668335,1.720981478691101,-9999,-9999,1.7761919498443604,1.757706880569458,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.730324625968933,1.7402405738830566,1.756382703781128,1.7569568157196045,1.7505069971084595,1.7498570680618286,1.7313132286071777,1.7429277896881104,1.7607876062393188,1.774916172027588,1.7807865142822266,1.7833337783813477,1.7699788808822632,1.7543772459030151,-9999,-9999
-9999,-9999,-9999,1.7493870258331299,1.7584097385406494,1.766456127166748,1.7739109992980957,1.7706466913223267,1.766668438911438,1.7597087621688843,1.7594536542892456,1.7689265012741089,1.786559820175171,1.8017866611480713,1.8191922903060913,1.823960542678833,1.8093323707580566,1.792620062828064,-9999,-9999
-9999,-9999,-9999,1.7706958055496216,1.782210111618042,1.8021535873413086,1.8041019439697266,1.792497158050537,1.759368896484375,1.7063171863555908,1.6529759168624878,1.6321008205413818,1.6597912311553955,1.7274340391159058,1.801932692527771,1.842612862586975,1.8483916521072388,1.859207034111023,-9999,-9999
-9999,-9999,1.7768667936325073,1.7963460683822632,1.816556692123413,1.8274973630905151,1.8097953796386719,1.758345603942871,1.6549406051635742,1.5027023553848267,1.3447695970535278,1.2673906087875366,1.299232006072998,1.4429134130477905,1.629386305809021,1.7635515928268433,1.838440179824829,1.8636972904205322,1.8447870016098022,-9999
-9999,-9999,1.796339750289917,1.8171273469924927,1.8473446369171143,1.8439571857452393,1.7917413711547852,1.67188560962677,1.4720577001571655,1.2172578573226929,0.9861559867858887,0.8683626651763916,0.8918213248252869,1.0612802505493164,1.3445112705230713,1.5635699033737183,1.7328147888183594,1.815779209136963,1.8385647535324097,-9999
-9999,-9999,1.8406916856765747,1.8638797998428345,1.8757234811782837,1.835886001586914,1.714867353439331,1.5029922723770142,1.2229105234146118,0.9298555254936218,0.7072944045066833,0.5917602777481079,0.5982376337051392,0.7273132801055908,0.9659415483474731,1.247321367263794,1.490257740020752,1.6559959650039673,1.7246792316436768,-9999
-9999,1.859580636024475,1.8931828737258911,1.902079701423645,1.8732060194015503,1.7512552738189697,1.5243868827819824,1.221526861190796,0.9119740724563599,0.6571981906890869,0.49193015694618225,0.40938249230384827,0.40434378385543823,0.48497214913368225,0.6530120372772217,0.909561038017273,1.1557615995407104,1.3605518341064453,1.46288001537323,-9999
-9999,1.9053725004196167,1.9229286909103394,1.901693344116211,1.788856863975525,1.545149803161621,1.212219476699829,0.8669257164001465,0.591742992401123,0.41359084844589233,0.31705212593078613,0.27051717042922974,0.2677569091320038,0.30974051356315613,0.4114050567150116,0.5820006728172302,0.7883777022361755,0.982564389705658,1.0863797664642334,-9999
-9999,1.9389464855194092,1.9235633611679077,1.831835150718689,1.6145517826080322,1.2776105403900146,0.8911046981811523,0.5574175119400024,0.34485816955566406,0.23240052163600922,0.17900609970092773,0.1570005565881729,0.15621915459632874,0.1775692254304886,0.22960543632507324,0.32534059882164,0.45822736620903015,0.6031689047813416,0.683108389377594,-9999
-9999,1.9026288986206055,1.8456839323043823,1.6609691381454468,1.362060785293579,0.9948804974555969,0.6280195116996765,0.3517560362815857,0.1975259631872177,0.12317154556512833,0.0909872055053711,0.07784712314605713,0.07697793841362,0.08462238311767578,0.10544882714748383,0.1502416431903839,0.222866028547287,0.30663883686065674,0.35355618596076965,-9999
