"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Whales

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.019031483680009842,0.019031289964914322,-9999,-9999,0.019129028543829918,0.019136259332299232,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.019143324345350266,0.01910410262644291,0.0190470851957798,0.01897902600467205,0.018913304433226585,0.018864039331674576,0.01884353719651699,0.039979394525289536,0.039979152381420135,0.01884493976831436,0.018872657790780067,0.04015479236841202,0.04020211473107338,0.018970154225826263,-9999,-9999
-9999,-9999,-9999,0.019035546109080315,0.040289171040058136,0.08378221094608307,0.08350732922554016,0.08315827697515488,0.08281613141298294,0.08254788815975189,0.08239813894033432,0.09922031313180923,0.09920904785394669,0.08236128091812134,0.0824756845831871,0.09959921985864639,0.08288083970546722,0.018799597397446632,-9999,-9999
-9999,-9999,-9999,0.01888926327228546,0.0832531601190567,0.12022782117128372,0.11973513662815094,0.11912086606025696,0.11853107064962387,0.11806968599557877,0.1177964061498642,0.11773805320262909,0.11771494150161743,0.11771208047866821,0.11788474768400192,0.11817370355129242,0.08179815858602524,0.018512723967432976,-9999,-9999
-9999,-9999,0.018617024645209312,0.03948047757148743,0.09909988939762115,0.1187703013420105,0.11809448897838593,0.11730517446994781,0.11657997965812683,0.11604232341051102,0.11571463942527771,0.1155712753534317,0.11553819477558136,0.11559969186782837,0.11578582972288132,0.11601565778255463,0.09653900563716888,0.038291238248348236,0.017975468188524246,-9999
-9999,-9999,0.01843799464404583,0.08119617402553558,0.11732403188943863,0.11676330119371414,0.11583926528692245,0.11483592540025711,0.11397828161716461,0.11337389051914215,0.11301039159297943,0.11283192038536072,0.11277486383914948,0.11283167451620102,0.11302635818719864,0.11329372227191925,0.11337880790233612,0.07817357033491135,0.01772434264421463,-9999
-9999,-9999,0.01816662587225437,0.0800309106707573,0.11530682444572449,0.11443018168210983,0.11326511204242706,0.11217185854911804,0.11127589643001556,0.11061450839042664,0.11017289757728577,0.1099163070321083,0.10980398952960968,0.1098228171467781,0.10998067259788513,0.11027542501688004,0.11058413982391357,0.07654133439064026,0.01736379787325859,-9999
-9999,0.017782757058739662,0.03771186247467995,0.0945616066455841,0.11304241418838501,0.11194038391113281,0.1106577143073082,0.10952048003673553,0.1085861325263977,0.10787270963191986,0.10736347734928131,0.10703840851783752,0.10687139630317688,0.10684586316347122,0.10695573687553406,0.10718552768230438,0.10748519003391266,0.0744936391711235,0.016918642446398735,-9999
-9999,0.017602287232875824,0.07736417651176453,0.11158096790313721,0.1107494905591011,0.10943051427602768,0.10809555649757385,0.10692783445119858,0.10596159100532532,0.10520030558109283,0.10462987422943115,0.10424285382032394,0.10402284562587738,0.10395339131355286,0.10401926189661026,0.10419733077287674,0.10443482547998428,0.07235782593488693,0.01644039899110794,-9999
-9999,0.01735525019466877,0.07622001320123672,0.10955392569303513,0.10842451453208923,0.10695518553256989,0.10559657216072083,0.10441375523805618,0.10342137515544891,0.10261749476194382,0.10199462622404099,0.10155382752418518,0.10128550231456757,0.10117364674806595,0.10120347142219543,0.10135495662689209,0.10157956182956696,0.07037204504013062,0.015982937067747116,-9999
-9999,0.017053943127393723,0.07480525225400925,0.10731273889541626,0.10602673888206482,0.1045321375131607,0.10317546874284744,0.10198883712291718,0.10097534209489822,0.10013549774885178,0.09946776181459427,0.09897945076227188,0.09866540879011154,0.09850979596376419,0.09850715845823288,0.09866008162498474,0.09894226491451263,0.06862243264913559,0.015583024360239506,-9999
-9999,0.016719656065106392,0.0732521042227745,0.10494581609964371,0.10359800606966019,0.1021697074174881,0.10084938257932663,0.09967203438282013,0.09864555299282074,0.0977775827050209,0.09706871211528778,0.0965312123298645,0.09616095572710037,0.09594693779945374,0.09589846432209015,0.09605327248573303,0.09651482105255127,0.06720119714736938,0.015261443331837654,-9999
-9999,0.016376707702875137,0.07167384028434753,0.10258162021636963,0.10126519948244095,0.09992144256830215,0.09865150600671768,0.09749455749988556,0.09646641463041306,0.0955834910273552,0.09484320878982544,0.09425214678049088,0.09380846470594406,0.09350690245628357,0.09336071461439133,0.09340506792068481,0.07768940925598145,0.03139747679233551,0.015023043379187584,-9999
-9999,0.01605517975986004,0.07020726799964905,0.10036899894475937,0.09910742938518524,0.09783238172531128,0.09661651402711868,0.09549304842948914,0.09448591619729996,0.09360199421644211,0.09283696115016937,0.09219127148389816,0.09166210144758224,0.09124884754419327,0.09096147119998932,0.09081222116947174,0.06272494792938232,0.014218460768461227,-9999,-9999
-9999,0.015788868069648743,0.06863163411617279,0.09841924905776978,0.09713608026504517,0.09592772275209427,0.09477889537811279,0.09371259063482285,0.09274152666330338,0.09187080711126328,0.0910918191075325,0.09039835631847382,0.08978545665740967,0.08925268799066544,0.0888078361749649,0.08845506608486176,0.06052631884813309,0.013696631416678429,-9999,-9999
-9999,0.015601535327732563,0.032502904534339905,0.0799022689461708,0.09528987854719162,0.09422984719276428,0.09318571537733078,0.09219212830066681,0.0912688747048378,0.09042057394981384,0.08963380008935928,0.08890208601951599,0.0882180854678154,0.0875777155160904,0.08697682619094849,0.08639166504144669,0.07095524668693542,0.02789722941815853,0.0128574687987566,0.012727592140436172
-9999,-9999,0.014979834668338299,0.06513125449419022,0.09377095848321915,0.09282384067773819,0.0918906033039093,0.0909767597913742,0.09010519832372665,0.08928091824054718,0.08849328011274338,0.08773620426654816,0.08700120449066162,0.08628057688474655,0.08556122332811356,0.0847964882850647,0.08385928720235825,0.06870117038488388,0.056320033967494965,0.055970240384340286
-9999,-9999,0.014601469039916992,0.03098718822002411,0.0766393393278122,0.09173165261745453,0.09094646573066711,0.09011383354663849,0.0892886072397232,0.08848711103200912,0.08770398795604706,0.08693365007638931,0.08616814762353897,0.08540122956037521,0.08462449163198471,0.0838128998875618,0.0829295665025711,0.0819815918803215,0.0812336802482605,0.08084551990032196
-9999,-9999,-9999,0.014277650974690914,0.06301718205213547,0.09112177789211273,0.09043940901756287,0.08965979516506195,0.08886300772428513,0.0880751758813858,0.08729641884565353,0.08652172237634659,0.08574268966913223,0.08495526015758514,0.08415665477514267,0.08334122598171234,0.08250779658555984,0.08171171694993973,0.0810900405049324,0.08075468242168427

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.018967807292938232,0.0189676396548748,-9999,-9999,0.019068043678998947,0.01907533034682274,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.019081946462392807,0.0190421212464571,0.018984239548444748,0.018915215507149696,0.018848678097128868,0.018798911944031715,0.01877821795642376,0.03984174132347107,0.03984186798334122,0.018780507147312164,0.018808942288160324,0.040022075176239014,0.04007001966238022,0.018907859921455383,-9999,-9999
-9999,-9999,-9999,0.018974147737026215,0.040157631039619446,0.08350347727537155,0.083224356174469,0.0828704982995987,0.08252440392971039,0.0822535902261734,0.0821024477481842,0.09886500984430313,0.09885501861572266,0.08206895738840103,0.0821862518787384,0.0992550179362297,0.08259724825620651,0.018736017867922783,-9999,-9999
-9999,-9999,-9999,0.018827274441719055,0.08297449350357056,0.1198180615901947,0.11931751668453217,0.11869525164365768,0.11809942871332169,0.1176338642835617,0.11735767126083374,0.11729932576417923,0.11727751791477203,0.11727689951658249,0.11745377629995346,0.11774756759405136,0.08150655031204224,0.018447138369083405,-9999,-9999
-9999,-9999,0.018554991111159325,0.03934741020202637,0.09875968843698502,0.11835305392742157,0.11766673624515533,0.1168685033917427,0.11613888293504715,0.11559733748435974,0.11526473611593246,0.11511974781751633,0.11508682370185852,0.11514993011951447,0.11533975601196289,0.11557416617870331,0.09617473185062408,0.038146138191223145,0.01790650188922882,-9999
-9999,-9999,0.01837555505335331,0.08091502636671066,0.11690923571586609,0.11633802950382233,0.11540225148200989,0.11439315229654312,0.1135425865650177,0.11293613910675049,0.11256011575460434,0.11237792670726776,0.11231865733861923,0.11237377673387527,0.11256878823041916,0.11283767968416214,0.11292577534914017,0.07786110788583755,0.017654016613960266,-9999
-9999,-9999,0.018103836104273796,0.07974771410226822,0.1148875430226326,0.11400007456541061,0.11282715201377869,0.11174213886260986,0.11085072159767151,0.11018902063369751,0.10974224656820297,0.10948130488395691,0.10936480760574341,0.1093788892030716,0.10953032970428467,0.10981263220310211,0.11011961102485657,0.07622150331735611,0.017291773110628128,-9999
