"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Whiting

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.049225091934204,1.0257937908172607,-9999,-9999,0.9039129614830017,0.8465542793273926,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.1641087532043457,1.240599513053894,1.3748494386672974,1.4734115600585938,1.5224922895431519,1.5387847423553467,1.372381567955017,1.2525417804718018,1.2321887016296387,1.214208960533142,1.0952062606811523,0.9644277095794678,0.8701420426368713,0.8063126802444458,-9999,-9999
-9999,-9999,-9999,1.096449613571167,1.1834646463394165,1.2882965803146362,1.4316511154174805,1.561521291732788,1.69101881980896,1.7848436832427979,1.826223611831665,1.779569149017334,1.718445897102356,1.5633289813995361,1.3620645999908447,1.1453341245651245,0.9793329238891602,0.8895969986915588,-9999,-9999
-9999,-9999,-9999,1.0788905620574951,1.1758636236190796,1.3598989248275757,1.5713386535644531,1.800614595413208,2.0669562816619873,2.4043283462524414,2.7072536945343018,2.8140289783477783,2.6824867725372314,2.2958121299743652,1.8817603588104248,1.478630781173706,1.1926689147949219,1.1142926216125488,-9999,-9999
-9999,-9999,0.8641481995582581,1.0068256855010986,1.1747208833694458,1.4119088649749756,1.6849323511123657,2.0123066902160645,2.4894676208496094,3.0720372200012207,3.6558642387390137,3.8904824256896973,3.7579383850097656,3.2002198696136475,2.509125232696533,1.9126334190368652,1.494244933128357,1.3142272233963013,1.1653856039047241,-9999
-9999,-9999,0.838175892829895,0.9528449177742004,1.1837267875671387,1.4866544008255005,1.8209739923477173,2.2538821697235107,2.847280263900757,3.552722454071045,4.2143731117248535,4.534028053283691,4.420560836791992,3.8837602138519287,3.1716439723968506,2.420661211013794,1.8820717334747314,1.5479285717010498,1.4024734497070312,-9999
-9999,-9999,0.8369358777999878,0.9839923977851868,1.2723031044006348,1.6299781799316406,2.0568485260009766,2.5603978633880615,3.1284079551696777,3.7357263565063477,4.200654983520508,4.452652931213379,4.39309024810791,4.033075332641602,3.4736151695251465,2.828218698501587,2.281094789505005,1.885939121246338,1.722219467163086,-9999
-9999,0.6781366467475891,0.8494800329208374,1.0763649940490723,1.458824634552002,1.926582932472229,2.4146876335144043,2.930506944656372,3.3884053230285645,3.7393360137939453,3.9347729682922363,4.02298641204834,4.001778602600098,3.817899703979492,3.5119431018829346,3.0900914669036865,2.578800678253174,2.1956331729888916,2.0288825035095215,-9999
-9999,0.7487302422523499,0.9090542793273926,1.2476654052734375,1.7325694561004639,2.2815470695495605,2.808887243270874,3.2535271644592285,3.524869918823242,3.617084503173828,3.588474750518799,3.551774024963379,3.5087437629699707,3.4413886070251465,3.306053400039673,3.0976383686065674,2.723447322845459,2.4147610664367676,2.278109550476074,-9999
-9999,0.8917180299758911,1.0681657791137695,1.45262610912323,1.9557563066482544,2.495659351348877,2.985445976257324,3.315760850906372,3.402536392211914,3.3290300369262695,3.211069345474243,3.12331485748291,3.080914258956909,3.050760269165039,3.0016260147094727,2.9016177654266357,2.714601516723633,2.511146068572998,2.4175221920013428,-9999
-9999,1.1182749271392822,1.2975349426269531,1.6936932802200317,2.1503212451934814,2.5804824829101562,2.9303410053253174,3.0928988456726074,3.0390872955322266,2.890974283218384,2.7559752464294434,2.6826679706573486,2.6859803199768066,2.6826446056365967,2.6588125228881836,2.6573941707611084,2.565519332885742,2.4668169021606445,2.4193811416625977,-9999
-9999,1.4269596338272095,1.6171897649765015,1.9988294839859009,2.333066463470459,2.591237783432007,2.742863655090332,2.7433738708496094,2.5961647033691406,2.4105496406555176,2.2724075317382812,2.2012579441070557,2.2049641609191895,2.2084102630615234,2.226789712905884,2.2450881004333496,2.273203134536743,2.282148838043213,2.2734272480010986,-9999
-9999,1.7583003044128418,1.9345346689224243,2.2572391033172607,2.462714672088623,2.534705400466919,2.5014641284942627,2.3724710941314697,2.18001651763916,1.9861750602722168,1.8466120958328247,1.7647391557693481,1.7341978549957275,1.7096998691558838,1.7026517391204834,1.7296559810638428,1.8288875818252563,1.9843051433563232,2.055976390838623,-9999
-9999,1.9672757387161255,2.096754550933838,2.3333537578582764,2.4147093296051025,2.343684196472168,2.1970226764678955,2.0142455101013184,1.8172532320022583,1.6525200605392456,1.5373387336730957,1.4475007057189941,1.3765177726745605,1.3184685707092285,1.2797197103500366,1.2787020206451416,1.3283754587173462,1.509437084197998,-9999,-9999
-9999,1.99347722530365,2.0646698474884033,2.2080559730529785,2.191391944885254,2.051074743270874,1.8708446025848389,1.683075189590454,1.5292630195617676,1.4142662286758423,1.3398358821868896,1.2571399211883545,1.1664717197418213,1.0688235759735107,1.0007771253585815,0.9481061100959778,0.9265767335891724,0.8482087850570679,-9999,-9999
-9999,1.9943674802780151,1.94728684425354,1.995417594909668,1.9290852546691895,1.763639211654663,1.571455478668213,1.4058011770248413,1.2936503887176514,1.2220948934555054,1.1610687971115112,1.0868666172027588,0.9964802861213684,0.9018948674201965,0.8184733390808105,0.7477292418479919,0.6950530409812927,0.6464564204216003,0.6279966831207275,0.5697396993637085
-9999,-9999,1.7508552074432373,1.7741979360580444,1.6985329389572144,1.5257248878479004,1.3347147703170776,1.1893188953399658,1.1074706315994263,1.049544095993042,1.0019365549087524,0.9419685006141663,0.8683341145515442,0.7741311192512512,0.6942712068557739,0.6351838111877441,0.5780142545700073,0.5404763221740723,0.5138806700706482,0.5424178242683411
-9999,-9999,1.691104531288147,1.6230491399765015,1.5283691883087158,1.3476978540420532,1.156099796295166,1.0164768695831299,0.9412873983383179,0.8970748782157898,0.874957799911499,0.826616108417511,0.7591649889945984,0.6746325492858887,0.610238790512085,0.5643595457077026,0.5239465236663818,0.5023713707923889,0.5389934778213501,0.5599162578582764
-9999,-9999,-9999,1.5002521276474,1.4369595050811768,1.2618616819381714,1.0712522268295288,0.9361089468002319,0.8677949905395508,0.8344947099685669,0.8147640824317932,0.783062219619751,0.718612551689148,0.6380813121795654,0.5706659555435181,0.5404194593429565,0.49472612142562866,0.5223326683044434,0.5540324449539185,0.5718061327934265

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0554202795028687,1.031799554824829,-9999,-9999,0.9106162786483765,0.8529322743415833,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.177888035774231,1.25443696975708,1.3886131048202515,1.486203908920288,1.533701777458191,1.548398494720459,1.3798809051513672,1.2590534687042236,1.2384144067764282,1.2202228307724,1.1011263132095337,0.9705589413642883,0.8760145306587219,0.8116706013679504,-9999,-9999
-9999,-9999,-9999,1.1098252534866333,1.1973564624786377,1.302243709564209,1.445303201675415,1.5741002559661865,1.702102780342102,1.7942091226577759,1.8339440822601318,1.7861019372940063,1.7244559526443481,1.5690585374832153,1.3677574396133423,1.1509695053100586,0.9846793413162231,0.894614577293396,-9999,-9999
-9999,-9999,-9999,1.0917143821716309,1.1891100406646729,1.3736377954483032,1.5848000049591064,1.8128939867019653,2.0773708820343018,2.4126317501068115,2.713168144226074,2.8181469440460205,2.685894727706909,2.2993524074554443,1.8857951164245605,1.4829585552215576,1.19692862033844,1.1185638904571533,-9999,-9999
-9999,-9999,0.8741273880004883,1.0182278156280518,1.186992883682251,1.4246597290039062,1.6971380710601807,2.0228614807128906,2.4974911212921143,3.07625150680542,3.6556105613708496,3.8871119022369385,3.7538645267486572,3.197719097137451,2.5089783668518066,1.9139750003814697,1.4962034225463867,1.3161888122558594,1.16629958152771,-9999
-9999,-9999,0.8473258018493652,0.9627774357795715,1.1946911811828613,1.4979442358016968,1.8312052488327026,2.261756181716919,2.8511316776275635,3.5507378578186035,4.205870628356934,4.521185874938965,4.406980514526367,3.87290096282959,3.165498971939087,2.4171228408813477,1.8803657293319702,1.5470622777938843,1.401610016822815,-9999
-9999,-9999,0.8450890779495239,0.9928973913192749,1.282048225402832,1.639464259147644,2.0645904541015625,2.564523696899414,3.1270108222961426,3.7275314331054688,4.186088562011719,4.433852672576904,4.373272895812988,4.01530122756958,3.459904193878174,2.8185129165649414,2.27419114112854,1.8808362483978271,1.717747449874878,-9999
-9999,0.6834114789962769,0.8563284873962402,1.0841619968414307,1.4671671390533447,1.933901071548462,2.4189391136169434,2.9297142028808594,3.381375312805176,3.7261898517608643,3.9168317317962646,4.001993179321289,3.979591131210327,3.796584129333496,3.493267059326172,3.075704336166382,2.566380023956299,2.1852316856384277,2.0194008350372314,-9999
-9999,0.753649890422821,0.9147642850875854,1.2541821002960205,1.7388358116149902,2.285525321960449,2.8084635734558105,3.2473208904266357,3.5130298137664795,3.60090708732605,3.5694634914398193,3.5309698581695557,3.4870476722717285,3.419572353363037,3.2852704524993896,3.079598903656006,2.706183910369873,2.3989813327789307,2.26310133934021,-9999
-9999,0.8959001302719116,1.0726683139801025,1.4571576118469238,1.9589226245880127,2.495530605316162,2.980379343032837,3.3054418563842773,3.3882200717926025,3.312239646911621,3.1928086280822754,3.1042253971099854,3.0614609718322754,3.0307507514953613,2.9810268878936768,2.881211042404175,2.694093942642212,2.4912593364715576,2.397942304611206,-9999
-9999,1.1210212707519531,1.3001134395599365,1.6953984498977661,2.1497652530670166,2.5763442516326904,2.921893358230591,3.080761432647705,3.024763822555542,2.875565528869629,2.739987850189209,2.666639804840088,2.671156406402588,2.6672282218933105,2.6410605907440186,2.6388356685638428,2.5446953773498535,2.445270299911499,2.397531747817993,-9999
-9999,1.4272029399871826,1.6168358325958252,1.9968194961547852,2.3285133838653564,2.583707094192505,2.7324864864349365,2.731058359146118,2.5830748081207275,2.3973143100738525,2.259143829345703,2.1884207725524902,2.193643808364868,2.196816921234131,2.213423728942871,2.228562116622925,2.254140853881836,2.2614526748657227,2.251955986022949,-9999
-9999,1.7550921440124512,1.9304380416870117,2.2511491775512695,2.4545364379882812,2.524770975112915,2.4903202056884766,2.36082124710083,2.168435573577881,1.9750452041625977,1.8359507322311401,1.7547204494476318,1.7255127429962158,1.7010310888290405,1.6930034160614014,1.7173293828964233,1.8138127326965332,1.9664301872253418,2.0363311767578125,-9999
-9999,1.9607038497924805,2.0893137454986572,2.3241348266601562,2.4043099880218506,2.3328299522399902,2.1861772537231445,2.0037035942077637,1.8073618412017822,1.643385410308838,1.5289349555969238,1.4397046566009521,1.3692578077316284,1.311344861984253,1.2728201150894165,1.2707631587982178,1.3184318542480469,1.4971144199371338,-9999,-9999
-9999,1.9847661256790161,2.0553083419799805,2.1974568367004395,2.180495262145996,2.040560007095337,1.860939621925354,1.6739894151687622,1.5210601091384888,1.4070860147476196,1.3339033126831055,1.2517608404159546,1.1613010168075562,1.063417911529541,0.995735764503479,0.9428565502166748,0.9206698536872864,0.8427597880363464,-9999,-9999
