"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Zooplankton

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.372994422912598,13.37755012512207,-9999,-9999,13.161158561706543,13.228939056396484,-9999,-9999,-9999
-9999,-9999,-9999,-9999,13.182775497436523,13.16368579864502,13.12022590637207,13.13399600982666,13.178006172180176,13.209700584411621,13.326106071472168,13.307181358337402,13.244475364685059,13.19491195678711,13.184514045715332,13.168749809265137,13.208351135253906,13.257669448852539,-9999,-9999
-9999,-9999,-9999,13.122529029846191,13.124276161193848,13.147683143615723,13.178787231445312,13.224615097045898,13.250144958496094,13.260993003845215,13.250151634216309,13.211576461791992,13.153630256652832,13.13031005859375,13.100799560546875,13.088296890258789,13.099944114685059,13.119585037231445,-9999,-9999
-9999,-9999,-9999,13.098461151123047,13.14443588256836,13.221168518066406,13.376422882080078,13.477349281311035,13.533217430114746,13.552909851074219,13.550715446472168,13.528419494628906,13.47197437286377,13.40216064453125,13.295024871826172,13.182723999023438,13.024853706359863,12.873758316040039,-9999,-9999
-9999,-9999,13.0610990524292,13.094613075256348,13.231438636779785,13.51365852355957,13.959197044372559,14.166081428527832,14.2771635055542,14.38322925567627,14.48555850982666,14.537315368652344,14.487367630004883,14.338249206542969,14.106017112731934,13.777238845825195,13.194963455200195,12.865872383117676,12.82697868347168,-9999
-9999,-9999,13.041847229003906,13.17570972442627,13.456219673156738,13.960298538208008,14.331592559814453,14.5843505859375,14.813382148742676,15.0601806640625,15.272834777832031,15.38167667388916,15.349929809570312,15.161975860595703,14.812006950378418,14.324077606201172,13.584513664245605,13.090608596801758,12.8800687789917,-9999
-9999,-9999,12.919191360473633,13.241785049438477,13.77541732788086,14.194528579711914,14.548235893249512,14.898292541503906,15.264870643615723,15.608833312988281,15.865569114685059,15.992863655090332,15.980645179748535,15.816985130310059,15.484037399291992,14.990992546081543,14.351208686828613,13.651387214660645,13.269670486450195,-9999
-9999,12.362043380737305,12.6502046585083,13.375716209411621,13.879366874694824,14.318021774291992,14.786463737487793,15.272695541381836,15.723567008972168,16.080875396728516,16.31647300720215,16.43124771118164,16.4315128326416,16.31237030029297,16.052841186523438,15.63635540008545,15.117794036865234,14.539681434631348,14.038557052612305,-9999
-9999,12.0531005859375,12.394157409667969,13.285920143127441,13.927593231201172,14.542780876159668,15.170372009277344,15.747782707214355,16.196870803833008,16.497699737548828,16.674760818481445,16.758243560791016,16.760643005371094,16.683584213256836,16.506725311279297,16.203752517700195,15.807788848876953,15.340622901916504,14.933987617492676,-9999
-9999,11.718153953552246,12.15005111694336,13.249446868896484,14.113943099975586,14.900450706481934,15.628785133361816,16.219329833984375,16.61202049255371,16.840482711791992,16.959043502807617,17.00635528564453,16.999130249023438,16.95223045349121,16.851734161376953,16.663654327392578,16.393081665039062,16.037940979003906,15.800530433654785,-9999
-9999,11.573751449584961,12.154172897338867,13.449877738952637,14.476133346557617,15.335265159606934,16.06059455871582,16.59465980529785,16.921485900878906,17.099349975585938,17.17810821533203,17.19540786743164,17.15825653076172,17.128860473632812,17.093355178833008,16.98309326171875,16.836931228637695,16.6345157623291,16.51851463317871,-9999
-9999,11.919569969177246,12.617560386657715,13.990763664245605,15.031936645507812,15.829784393310547,16.444194793701172,16.87647247314453,17.141048431396484,17.280099868774414,17.345787048339844,17.354841232299805,17.320865631103516,17.302404403686523,17.27967071533203,17.242929458618164,17.144859313964844,17.027172088623047,16.98834800720215,-9999
-9999,12.784967422485352,13.493191719055176,14.778034210205078,15.710912704467773,16.347463607788086,16.791465759277344,17.095205307006836,17.290048599243164,17.39191436767578,17.440229415893555,17.455490112304688,17.447124481201172,17.451759338378906,17.45697784423828,17.445457458496094,17.377071380615234,17.262704849243164,17.280431747436523,-9999
