"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Anchovy

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,0,0,0,0,8.423508644104004,7.393872261047363,6.5635809898376465,5.730463027954102,4.98523473739624,4.672381401062012,4.892373085021973,5.724698543548584,6.998418807983398,8.619185447692871,0,0,0,-9999
-9999,-9999,0,0,0,8.465041160583496,6.928896903991699,5.743569850921631,4.61783504486084,3.529726505279541,2.6877493858337402,2.308899402618408,2.4218790531158447,3.0878396034240723,4.327923774719238,6.198745250701904,0,0,0,-9999
-9999,-9999,0,0,9.150251388549805,7.358511447906494,5.8299880027771,4.426498889923096,3.1601665019989014,2.1377859115600586,1.4969146251678467,1.2059001922607422,1.2398077249526978,1.6257271766662598,2.4714889526367188,3.8990519046783447,5.921903610229492,0,0,-9999
-9999,0,0,10.574970245361328,8.376334190368652,6.439291954040527,4.644878387451172,3.0940983295440674,1.9447604417800903,1.2185282707214355,0.8361998796463013,0.6705464124679565,0.6676479578018188,0.854755163192749,1.3024870157241821,2.1620876789093018,3.515302896499634,5.196263790130615,0,-9999
-9999,0,0,10.39462947845459,7.642853736877441,5.2321038246154785,3.2470834255218506,1.836180567741394,1.0189552307128906,0.6148166656494141,0.43660610914230347,0.3613364100456238,0.36029982566833496,0.43718624114990234,0.6457384824752808,1.0732792615890503,1.8520556688308716,2.9057207107543945,0,-9999
