"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Cod

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.006177674047648907,0.005960265174508095,-9999,-9999,0.004683434497565031,0.004099114798009396,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.0054335747845470905,0.006400180049240589,0.00839379895478487,0.010464425198733807,0.012176080606877804,0.01343911699950695,0.011319799348711967,0.009634257294237614,0.0096155796200037,0.009836266748607159,0.008040408603847027,0.005955361761152744,0.004812630824744701,0.004280426539480686,-9999,-9999
-9999,-9999,-9999,0.005135904997587204,0.005985687021166086,0.007410579826682806,0.00986314658075571,0.012870033271610737,0.016659623011946678,0.02036351151764393,0.023058954626321793,0.023112475872039795,0.02236897684633732,0.018975557759404182,0.014456450939178467,0.010055676102638245,0.007286544423550367,0.006051675416529179,-9999,-9999
-9999,-9999,-9999,0.005510558839887381,0.0067014433443546295,0.009555768221616745,0.01400099229067564,0.02054811269044876,0.03052215650677681,0.04639064520597458,0.064828060567379,0.07500895857810974,0.07098274677991867,0.05302475020289421,0.035701602697372437,0.02183493971824646,0.01412474550306797,0.01243710145354271,-9999,-9999
-9999,-9999,0.004555845633149147,0.005827258341014385,0.008181682787835598,0.012819716706871986,0.020403752103447914,0.03319565951824188,0.058562252670526505,0.1019541472196579,0.161324605345726,0.19724209606647491,0.19246502220630646,0.14251382648944855,0.08772019296884537,0.050577230751514435,0.03091202676296234,0.02469656802713871,0.02190500684082508,-9999
-9999,-9999,0.005085993558168411,0.006617456674575806,0.01088022068142891,0.01906341314315796,0.032609663903713226,0.05802290141582489,0.10812210291624069,0.19450081884860992,0.30839189887046814,0.3888545036315918,0.38818424940109253,0.3064512610435486,0,0.11790935695171356,0.07051631063222885,0.04778900742530823,0.04031398147344589,-9999
-9999,-9999,0.006808105390518904,0.009736989624798298,0.01778765581548214,0.03310048207640648,0.061271216720342636,0.11177150160074234,0.19594310224056244,0.32376042008399963,0.462084025144577,0.5687226057052612,0.5849409699440002,0.5055530667304993,0.3753155767917633,0.2455078512430191,0.1561594158411026,0.10495863854885101,0.08724740892648697,-9999
-9999,0.00749353738501668,0.010381885804235935,0.017154216766357422,0.035023827105760574,0.07067301869392395,0.13124017417430878,0.23078486323356628,0.36549076437950134,0.5166825652122498,0.6461322903633118,0.7408994436264038,0.7788954377174377,0.729791522026062,0.618703305721283,0,0.31584981083869934,0.22165249288082123,0.18607935309410095,-9999
-9999,0.011607383377850056,0.01702771708369255,0.03442353010177612,0.07527205348014832,0.15374106168746948,0.2815057039260864,0.4598417580127716,0.6486079096794128,0.7986313700675964,0.8902939558029175,0.9587047100067139,0.9964999556541443,0.9886380434036255,0.9119569659233093,0,0.5785148739814758,0.435780793428421,0.3782672584056854,-9999
-9999,0.023226719349622726,0.034473396837711334,0.06969054788351059,0.14494428038597107,0.282536119222641,0.49942994117736816,0.7664846181869507,0.983940601348877,1.1108580827713013,1.1771944761276245,1.2283451557159424,1.2783962488174438,1.2921500205993652,1.2466391324996948,1.1351536512374878,0.9510638117790222,0.7767074108123779,0.6988012194633484,-9999
-9999,0.053214360028505325,0.07512040436267853,0.1418074518442154,0.26549044251441956,0.4635346233844757,0.747619092464447,1.0442787408828735,1.2311424016952515,1.31130850315094,1.3508955240249634,1.407954216003418,0,0,1.5202410221099854,0,1.3378002643585205,1.1857577562332153,1.106619954109192,-9999
-9999,0.12565650045871735,0.17142117023468018,0.2953861653804779,0.47466617822647095,0.7168974280357361,1.0038162469863892,1.2461988925933838,1.3401068449020386,1.3356341123580933,1.3247973918914795,1.3503094911575317,0,0,0,1.4681487083435059,1.4713679552078247,1.4390240907669067,1.3840643167495728,-9999
-9999,0.26938825845718384,0.3518402874469757,0.5542498826980591,0.7956995964050293,1.037574291229248,1.2456107139587402,1.3529043197631836,1.3326263427734375,1.2594555616378784,1.195302128791809,1.1583054065704346,0,0,0,1.102759838104248,1.193497657775879,1.3506261110305786,1.3652774095535278,-9999
-9999,0.4588146507740021,0.5747578144073486,0.8481400012969971,1.1157937049865723,1.289392352104187,1.3635327816009521,1.3404128551483154,1.2517755031585693,1.1496599912643433,1.062882661819458,0.9681243896484375,0.8730263710021973,0.7826101779937744,0,0,0.712007999420166,0.8923041224479675,-9999,-9999
-9999,0.6122338175773621,0.7523706555366516,1.0537681579589844,1.283778429031372,1.359265685081482,1.3247358798980713,1.2321605682373047,1.1348413228988647,1.044520378112793,0,0,0,0.5576536059379578,0,0,0.3481101989746094,0,-9999,-9999
-9999,0.7364477515220642,0.8897688388824463,1.1640636920928955,1.334536075592041,1.3129665851593018,1.2005258798599243,1.0727770328521729,0.9799202084541321,0,0,0,0,0.4048413634300232,0.30426841974258423,0.23109640181064606,0.18068405985832214,0.13939398527145386,0,0
-9999,-9999,1.0292861461639404,1.2294809818267822,1.3342182636260986,1.2336342334747314,1.0552822351455688,0.9042642116546631,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,1.189632773399353,1.2857437133789062,1.3093647956848145,1.137224555015564,0.9078377485275269,0.7338813543319702,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,-9999,1.303520917892456,1.2895203828811646,1.0893287658691406,0.8354983329772949,0.6547752022743225,0,0,0,0,0,0,0,0,0,0,0,0

Step,73
Year,6.083309
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
