"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Mackerel

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,0,0,0,0,2.2878286838531494,1.8976235389709473,1.6743308305740356,1.5227739810943604,1.4216166734695435,1.3966443538665771,1.4605034589767456,1.6314113140106201,1.9186928272247314,2.392507791519165,0,0,0,-9999
-9999,-9999,0,0,0,2.1021664142608643,1.5653504133224487,1.2649158239364624,1.069021224975586,0.9226323366165161,0.8200303316116333,0.7812313437461853,0.8179942965507507,0.9452185034751892,1.1813547611236572,1.5948092937469482,0,0,0,-9999
-9999,-9999,0,0,2.1160025596618652,1.514141321182251,1.1426236629486084,0.9014055132865906,0.7304822206497192,0.6038292646408081,0.52242511510849,0.48795488476753235,0.5070642828941345,0.5889725089073181,0.7516984343528748,1.0306841135025024,1.4883038997650146,0,0,-9999
-9999,0,0,2.3281350135803223,1.615078091621399,1.1644551753997803,0.8647329211235046,0.6568998694419861,0.5117162466049194,0.4147874712944031,0.35914579033851624,0.33646973967552185,0.3455115854740143,0.3941953480243683,0.49397072196006775,0.6684854626655579,0.9426215291023254,1.325426697731018,0,-9999
-9999,0,0,1.9878448247909546,1.33024001121521,0.9241074919700623,0.6558905243873596,0.4744473695755005,0.3584422171115875,0.29135653376579285,0.2581655979156494,0.24564802646636963,0.25181156396865845,0.27933162450790405,0.33879077434539795,0.44459250569343567,0.6186751127243042,0.8670265674591064,0,-9999
