"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Seals

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0023651819210499525,0.0023681768216192722,-9999,-9999,0.0024061384610831738,0.0024095771368592978,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.002341059735044837,0.002345165703445673,0.00235276878811419,0.002362088533118367,0.0023719333112239838,0.002380982507020235,0.002388356951996684,0.001887079095467925,0.0018941567977890372,0.0024194486904889345,0.0024306364357471466,0.0019218673696741462,0.001930014113895595,0.002462804550305009,-9999,-9999
-9999,-9999,-9999,0.002360285259783268,0.0018634755397215486,0.0012233089655637741,0.0012284378753975034,0.0012344333808869123,0.001240866375155747,0.0012471753871068358,0.0012533576227724552,0.001034695073030889,0.0010398112935945392,0.0012727322755381465,0.0012795021757483482,0.0010576366912573576,0.0012943034525960684,0.0025109900161623955,-9999,-9999
-9999,-9999,-9999,0.002381504513323307,0.0012355904327705503,0.000579237355850637,0.000483058305690065,0.0004863532376475632,0.000489948084577918,0.0004936461918987334,0.0004973760223947465,0.000419014337239787,0.00042179872980341315,0.0005076975212432444,0.0005113793886266649,0.0005162463639862835,0.0013415170833468437,0.002597409300506115,-9999,-9999
-9999,-9999,0.002421989571303129,0.0019092969596385956,0.001033120439387858,0.00040999538032338023,0.00014180685684550554,0.00014311907580122352,0.00014463650586549193,0.00014624925097450614,0.00014788119005970657,0.0001251616486115381,0.0001263997983187437,0.00015249398711603135,0.00015434619854204357,0.00045431844773702323,0.0011568284826353192,0.0021592306438833475,0.002788729965686798,-9999
-9999,-9999,0.0024492181837558746,0.0012717586942017078,0.0005982312723062932,0.0002458165108691901,7.252117211464792E-05,3.13020937028341E-05,3.176262180204503E-05,3.2262854801956564E-05,3.277561336290091E-05,2.8032471163896844E-05,2.848119765985757E-05,3.4440348827047274E-05,8.223702025134116E-05,0.0002838527725543827,0.0006975834257900715,0.0014928015880286694,0.0028914010617882013,-9999
-9999,-9999,0.0024911602959036827,0.0012975007994100451,0.0005080928676761687,0.0001481683721067384,3.200109858880751E-05,7.094718057487626E-06,5.186018825042993E-06,5.299448275764007E-06,5.418651653599227E-06,4.6880832087481394E-06,4.8197980504482985E-06,8.234335837187245E-06,3.841241414193064E-05,0.00018011080101132393,0.00062025454826653,0.001586423721164465,0.0030490877106785774,-9999
-9999,0.0025571805890649557,0.002013225108385086,0.001092818914912641,0.00043693624320439994,0.00012813865032512695,2.7974961994914338E-05,4.506195637077326E-06,6.346210739138769E-07,6.566383490280714E-07,6.789636017856537E-07,5.911235803068848E-07,7.356850346695865E-07,6.574498911504634E-06,4.197585803922266E-05,0.00019488476391416043,0.000666090112645179,0.0016937649343162775,0.003243544604629278,-9999
-9999,0.002602551830932498,0.0013535147299990058,0.0006394016090780497,0.00026476767379790545,7.993324106791988E-05,1.763595537340734E-05,2.873939592973329E-06,3.5669168596541567E-07,1.4677162596399285E-07,1.5428948074713844E-07,1.6009308012598922E-07,8.246610718742886E-07,7.220174666144885E-06,4.55740955658257E-05,0.00021017958351876587,0.0007148873410187662,0.0018112612888216972,0.003461141139268875,-9999
-9999,0.0026753738056868315,0.0013972896849736571,0.000550341559574008,0.0001619489339645952,3.5399098123889416E-05,7.963009011291433E-06,1.3333102515389328E-06,1.689060979970236E-07,1.5530224573012674E-07,1.5914983464426768E-07,1.7800547880142403E-07,9.085747478820849E-07,7.858551725803409E-06,4.92119652335532E-05,0.00022582625388167799,0.0007653935463167727,0.0019336979603394866,0.0036881796550005674,-9999
-9999,0.002770607592537999,0.0014505470171570778,0.0005736702005378902,0.00016965577378869057,3.726682916749269E-05,6.062641205062391E-06,7.383451929854346E-07,1.6291441795601713E-07,1.636698954143867E-07,1.7920501704793423E-07,2.238758725070511E-07,1.96917426364962E-06,1.2054980288667139E-05,5.292277637636289E-05,0.00024175536236725748,0.0008165879407897592,0.0020561472047120333,0.003910039085894823,-9999
-9999,0.0028844354674220085,0.0015127029037103057,0.0005999908898957074,0.00017802095680963248,3.9761493098922074E-05,6.513983862532768E-06,8.001327387319179E-07,1.7387472439622798E-07,1.7432361687497178E-07,1.9687065844209428E-07,5.504978162207408E-07,4.8443066589243244E-06,2.977510121127125E-05,0.00013485427189152688,0.00044125053682364523,0.0010475990129634738,0.002175919245928526,0.004108637571334839,-9999
-9999,0.003010277869179845,0.001581003307364881,0.0006335063953883946,0.00018887447367887944,4.182461270829663E-05,6.8649537752207834E-06,8.430553748439706E-07,1.8293515324785403E-07,1.8423287428959156E-07,2.1033758912381018E-07,9.494376627117163E-07,8.363356755580753E-06,5.230956958257593E-05,0.00023808496189303696,0.0007937830523587763,0.0019523208029568195,0.0035082120448350906,0.004254491068422794,-9999
-9999,0.003137368941679597,0.001650952734053135,0.0006629492854699492,0.00019801549206022173,4.3948133679805323E-05,1.0067659786727745E-05,1.7149707218777621E-06,2.178622082738002E-07,1.971483953866482E-07,2.1926101112512697E-07,1.1698898561007809E-06,1.0229650797555223E-05,6.426479376386851E-05,0.00029477133648470044,0.000996119575574994,0.002489926293492317,0.004727274179458618,-9999,-9999
