"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Shrimp

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.2929534912109375,1.290878176689148,-9999,-9999,1.3750455379486084,1.3465720415115356,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.305351972579956,1.320344090461731,1.3449128866195679,1.345704197883606,1.3356975317001343,1.3345438241958618,1.3064115047454834,1.3239880800247192,1.3512358665466309,1.3729809522628784,1.3821008205413818,1.386080026626587,1.3654024600982666,1.3414262533187866,-9999,-9999
-9999,-9999,-9999,1.3342393636703491,1.348044514656067,1.3603918552398682,1.371840476989746,1.3666713237762451,1.3603127002716064,1.3495469093322754,1.3491430282592773,1.3636765480041504,1.3909467458724976,1.4147192239761353,1.4422802925109863,1.4498647451400757,1.4267252683639526,1.4004968404769897,-9999,-9999
-9999,-9999,-9999,1.366899013519287,1.384729027748108,1.4158567190170288,1.418822169303894,1.4004497528076172,1.3491430282592773,1.2690519094467163,1.1909700632095337,1.1610453128814697,1.200691819190979,1.3004369735717773,1.4149258136749268,1.479470133781433,1.48886239528656,1.5063618421554565,-9999,-9999
-9999,-9999,1.3763266801834106,1.4067041873931885,1.4385244846343994,1.455824613571167,1.4275907278060913,1.3476009368896484,1.1938657760620117,0.9844074845314026,0.7883901000022888,0.7002443075180054,0.7357967495918274,0.9074146151542664,1.156955599784851,1.3552017211914062,1.4726951122283936,1.5134307146072388,1.482913613319397,-9999
-9999,-9999,1.4066050052642822,1.4393523931503296,1.4875813722610474,1.4819563627243042,1.3992384672164917,1.2184258699417114,0.9446963667869568,0.6460323333740234,0.4240274429321289,0.32875940203666687,0.3467172682285309,0.4909200966358185,0,1.0653049945831299,1.3083263635635376,1.43655264377594,1.4728153944015503,-9999
-9999,-9999,1.4768335819244385,1.5142730474472046,1.5335370302200317,1.4689900875091553,1.281802773475647,0.984758734703064,0.652023196220398,0.37700146436691284,0.21812796592712402,0.15267252922058105,0.15601004660129547,0.2305586338043213,0.4066150188446045,0.6779470443725586,0.9676849842071533,1.1948531866073608,1.2960031032562256,-9999
-9999,1.5071343183517456,1.562136173248291,1.5768369436264038,1.5292474031448364,1.336668610572815,1.0128865242004395,0.6504750847816467,0.3626052141189575,0.18831272423267365,0.10550493001937866,0.07305832207202911,0.07125972956418991,0.10249809175729752,0.1858147531747818,0,0.5820077657699585,0.806518018245697,0.9323944449424744,-9999
-9999,1.5821962356567383,1.6114771366119385,1.5760002136230469,1.3945457935333252,1.0405292510986328,0.6405003070831299,0.32761257886886597,0.15264561772346497,0.07456837594509125,0.043816596269607544,0.03189387172460556,0.03124157525599003,0.04180162027478218,0.07373971492052078,0,0.2707766890525818,0.42059752345085144,0.5141758918762207,-9999
