"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Whiting

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.020768146961927414,0.019906653091311455,-9999,-9999,0.015509535558521748,0.01359465904533863,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.023216351866722107,0.026631934568285942,0.033310502767562866,0.03916075825691223,0.04287455230951309,0.04482066258788109,0.036277104169130325,0.030418353155255318,0.029718952253460884,0.02932983823120594,0.02389627695083618,0.0182648915797472,0.014833914116024971,0.012877598404884338,-9999,-9999
-9999,-9999,-9999,0.020954051986336708,0.024415869265794754,0.02928994409739971,0.03695068508386612,0.04516073316335678,0.054553594440221786,0.06253480911254883,0.06710399687290192,0.06482935696840286,0.0611816942691803,0.05104054510593414,0.03878758102655411,0.027277765795588493,0.019884591922163963,0.016441743820905685,-9999,-9999
-9999,-9999,-9999,0.020880747586488724,0.024972127750515938,0.03402993083000183,0.04671110212802887,0.06346432864665985,0.08685154467821121,0.12204065918922424,0.15982547402381897,0.17673470079898834,0.16284070909023285,0.12008019536733627,0.0807272419333458,0.04967600479722023,0.03225331008434296,0.02823691815137863,-9999,-9999
-9999,-9999,0.014438305981457233,0.019249454140663147,0.026453619822859764,0.03918691724538803,0.057807788252830505,0.0860692709684372,0.13817425072193146,0.22039218246936798,0.32464030385017395,0.3779371678829193,0.358413428068161,0.26189255714416504,0.16105058789253235,0.09330560266971588,0.05697277933359146,0.044594839215278625,0.03667082637548447,-9999
-9999,-9999,0.014331762678921223,0.018562715500593185,0.029243867844343185,0.0477602556347847,0.07492110133171082,0.12094224244356155,0.20407602190971375,0.3351321816444397,0.49329259991645813,0.5899697542190552,0.5714960694313049,0.44495823979377747,0,0.17217573523521423,0.10364291816949844,0.07015473395586014,0.05820084363222122,-9999
-9999,-9999,0.01575491763651371,0.022035731002688408,0.03799855709075928,0.06521975994110107,0.10972126573324203,0.18073849380016327,0.28699055314064026,0.4335717558860779,0.575343906879425,0.6706618666648865,0.6676126718521118,0.5684580206871033,0.42178472876548767,0.2780669331550598,0.17922867834568024,0.12166779488325119,0.10132698714733124,-9999
-9999,0.01245491486042738,0.018659766763448715,0.030280468985438347,0.05786780267953873,0.10670027136802673,0.17891670763492584,0.2828167676925659,0.4050765633583069,0.5247101783752441,0.6113951206207275,0.6646316051483154,0.6748252511024475,0.6218705773353577,0.5265995264053345,0,0.27735966444015503,0.19830302894115448,0.16810964047908783,-9999
-9999,0.016640178859233856,0.024484068155288696,0.047416090965270996,0.09610976278781891,0.17804493010044098,0.29168084263801575,0.42499908804893494,0.5394975543022156,0.6078272461891174,0.6316912770271301,0.6451372504234314,0.6474007964134216,0.6313619017601013,0.5825369358062744,0,0.3836718499660492,0.2959979474544525,0.260558545589447,-9999
-9999,0.027065735310316086,0.03937560319900513,0.0755309909582138,0.14495497941970825,0.2546218931674957,0.398892343044281,0.5411640405654907,0.6219721436500549,0.6409275531768799,0.6323248744010925,0.6253936886787415,0.6274349689483643,0.6238030791282654,0.602964460849762,0.5568192601203918,0.4777863919734955,0.4002761244773865,0.3660290539264679,-9999
-9999,0.049744777381420135,0.06832868605852127,0.1216188445687294,0.20908553898334503,0.3274795711040497,0.4662092924118042,0.5747846364974976,0.6075429916381836,0.5923107862472534,0.5702703595161438,0.5646655559539795,0,0,0.5795673727989197,0,0.5257294774055481,0.4766724705696106,0.45215755701065063,-9999
-9999,0.09498853981494904,0.12525269389152527,0.20173174142837524,0.29569393396377563,0.3993746340274811,0.49503543972969055,0.5466821193695068,0.5327500104904175,0.4913172423839569,0.4596157968044281,0.44831356406211853,0,0,0,0.47617918252944946,0.48306190967559814,0.48007112741470337,0.46949103474617004,-9999
-9999,0.16787999868392944,0.2102271467447281,0.30559611320495605,0.39599430561065674,0.461312472820282,0.4948287308216095,0.48590725660324097,0.4409531354904175,0.38904887437820435,0.35145556926727295,0.3300960958003998,0,0,0,0.31578996777534485,0.34772202372550964,0.4018053114414215,0.41930899024009705,-9999
-9999,0.24132616817951202,0.286583811044693,0.38450804352760315,0.45273858308792114,0.46896347403526306,0.44939520955085754,0.4066157639026642,0.3531760275363922,0.30694568157196045,0.27411144971847534,0.24615764617919922,0.22230111062526703,0.20171351730823517,0,0,0.19441039860248566,0.2475147694349289,-9999,-9999
-9999,0.27923136949539185,0.3188512623310089,0.40055593848228455,0.4356835186481476,0.4172116816043854,0.374044805765152,0.3233739733695984,0.28123316168785095,0.24908575415611267,0,0,0,0.13775873184204102,0,0,0.09479440748691559,0,-9999,-9999
-9999,0.30416905879974365,0.32368385791778564,0.3767288029193878,0.3876802325248718,0.35005176067352295,0.2972255051136017,0.25071221590042114,0.2201240211725235,0,0,0,0,0.09899426996707916,0.07805371284484863,0.06229124218225479,0.05133466795086861,0.04206833988428116,0,0
-9999,-9999,0.3095785081386566,0.3414525091648102,0.33908793330192566,0.2919520139694214,0.23563842475414276,0.19404707849025726,0,0,0,0,0,0,0,0,0,0,0,0
