"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Bait boats"

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,0,0,0,0,3.6124684810638428,3.414599657058716,3.22016978263855,2.989867925643921,2.757272243499756,2.64851713180542,2.7107455730438232,2.955017566680908,3.287811517715454,3.641456365585327,0,0,0,-9999
-9999,-9999,0,0,0,3.6719155311584473,3.3682775497436523,3.0776562690734863,2.740203380584717,2.352588415145874,2.0017852783203125,1.8218274116516113,1.8664741516113281,2.144395112991333,0.28748077154159546,3.1252999305725098,0,0,0,-9999
-9999,-9999,0,0,3.8578648567199707,3.5159168243408203,3.149512767791748,2.730689525604248,2.2673146724700928,1.8084114789962769,1.4586068391799927,1.2723634243011475,1.2873550653457642,1.5094987154006958,1.9205869436264038,2.4682776927948,3.065664052963257,0,0,-9999
-9999,0,0,4.176280975341797,3.783071994781494,3.343520402908325,2.82956600189209,2.2703053951263428,1.744458556175232,1.3220466375350952,1.0467143058776855,0.9063630104064941,0.898110032081604,1.0424749851226807,1.3393458127975464,0.39806681871414185,2.3384053707122803,2.865229368209839,0,-9999
-9999,0,0,4.218660831451416,3.6593825817108154,3.0224509239196777,2.3412766456604004,1.6998463869094849,1.201656699180603,0.8789393901824951,0.7038235068321228,0.6182519197463989,0.6129330396652222,0.6909162998199463,0.8804819583892822,0.2654864490032196,1.6354559659957886,2.0892493724823,0,-9999
