"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Sealers

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.33315548300743103,0.33336639404296875,-9999,-9999,0.3360276520252228,0.3362676501274109,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.3314530849456787,0.33174213767051697,0.3322794437408447,0.3329369127750397,0.3336299955844879,0.334265798330307,0.33478304743766785,0.28602805733680725,0.2865639626979828,0.33695510029792786,0.33773326873779297,0.2886525094509125,0.28926363587379456,0.33996230363845825,-9999,-9999
-9999,-9999,-9999,0.3328123986721039,0.2842341959476471,0.21881097555160522,0.21926918625831604,0.21980363130569458,0.22037561237812042,0.22093512117862701,0.2214820384979248,0.19740664958953857,0.1978941261768341,0.22318732738494873,0.22378012537956238,0.19958314299583435,0.2250736951828003,0.3432731032371521,-9999,-9999
-9999,-9999,-9999,0.334306538105011,0.219911128282547,0.14117445051670074,0.12733696401119232,0.12777049839496613,0.12824183702468872,0.12872491776943207,0.12921029329299927,0.11724936217069626,0.11763828992843628,0.13054409623146057,0.1310165971517563,0.13164204359054565,0.22914373874664307,0.3491317927837372,-9999,-9999
-9999,-9999,0.33713793754577637,0.28770917654037476,0.1972602754831314,0.11598391085863113,0.0645509585738182,0.06484892964363098,0.06519181281328201,0.06555426120758057,0.06591898947954178,0.060184456408023834,0.06048140674829483,0.06693919003009796,0.06734448671340942,0.1220923513174057,0.2087365984916687,0.3059613108634949,0.36176350712776184,-9999
-9999,-9999,0.3390299379825592,0.22311089932918549,0.1434718817472458,0.08716002851724625,0.044863034039735794,0.028598204255104065,0.028807807713747025,0.02903377264738083,0.029263582080602646,0.02691619284451008,0.027130765840411186,0.029997551813721657,0.0477738156914711,0.09366091340780258,0.15492814779281616,0.24172386527061462,0.3683651089668274,-9999
-9999,-9999,0.3419230282306671,0.22536039352416992,0.13060371577739716,0.06598816066980362,0.028918283060193062,0.013029067777097225,0.011044591665267944,0.01116472389549017,0.011289591901004314,0.010457921773195267,0.01060381531715393,0.014036535285413265,0.03168296813964844,0.07275421172380447,0.14430087804794312,0.24919161200523376,0.3782792091369629,-9999
-9999,0.3464270830154419,0.29543977975845337,0.20288553833961487,0.11973886936903,0.06090110167860985,0.026891116052865982,0.010254102759063244,0.0036841908004134893,0.0037475547287613153,0.0038107293657958508,0.0035442898515611887,0.003967217169702053,0.012437008321285248,0.03312072902917862,0.07568089663982391,0.14954030513763428,0.2574876546859741,0.3901585042476654,-9999
-9999,0.34949007630348206,0.23018024861812592,0.14833001792430878,0.09046073257923126,0.04710208997130394,0.02102418802678585,0.008092831820249557,0.0027279413770884275,0.0016964934766292572,0.0017393993912264705,0.001772101502865553,0.004200399853289127,0.013033785857260227,0.03451201692223549,0.07859642058610916,0.1549241840839386,0.26627302169799805,0.4030369222164154,-9999
-9999,0.3543495535850525,0.23387686908245087,0.13593339920043945,0.06899343430995941,0.030417250469326973,0.013804055750370026,0.005412824917584658,0.001849947962909937,0.0017071431502699852,0.0017014500917866826,0.0018686760449782014,0.00440907571464777,0.013598203659057617,0.03586404025554657,0.08147154003381729,0.16030699014663696,0.2751302719116211,0.41605016589164734,-9999
-9999,0.36060523986816406,0.2382967472076416,0.13878794014453888,0.07061798125505447,0.03121035359799862,0.011944168247282505,0.003974774852395058,0.0017877777572721243,0.0017252806574106216,0.00183406553696841,0.0021300753578543663,0.006578845903277397,0.016986122354865074,0.037192799150943756,0.08429834246635437,0.16558539867401123,0.28371307253837585,0.428385853767395,-9999
-9999,0.36794278025627136,0.2433536797761917,0.14193984866142273,0.072340227663517,0.0322391577064991,0.012381245382130146,0.004137908108532429,0.0018470122013241053,0.001777000492438674,0.0019455990986898541,0.0033895312808454037,0.010508609935641289,0.027321655303239822,0.061187222599983215,0.11679130047559738,0.1898738294839859,0.29186534881591797,0.4391357898712158,-9999
-9999,0.3758884072303772,0.2487923800945282,0.14585451781749725,0.07451529055833817,0.03306620195508003,0.012710925191640854,0.004247626289725304,0.0018946081399917603,0.0018308429280295968,0.0020263579208403826,0.004493280313909054,0.013972352258861065,0.03677850216627121,0.08302740007638931,0.16141189634799957,0.2712031900882721,0.3900182545185089,0.4468682110309601,-9999
-9999,0.3837466835975647,0.25424259901046753,0.14920994639396667,0.07629986852407455,0.03389656916260719,0.015524485148489475,0.006140224635601044,0.002101529622450471,0.0019239503890275955,0.0020743028726428747,0.0050039212219417095,0.015516981482505798,0.040989454835653305,0.09309296309947968,0.1828998476266861,0.312229722738266,0.4710502326488495,-9999,-9999
-9999,0.39068394899368286,0.26010558009147644,0.16885939240455627,0.10410666465759277,0.054783325642347336,0.024847691878676414,0.009656401351094246,0.0035633884835988283,0.00202325196005404,0.002100666519254446,0.005067970138043165,0.015727315098047256,0.041588135063648224,0.09458549320697784,0.18617790937423706,0.3194536864757538,0.48203045129776,-9999,-9999
