"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Seiners

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999
-9999,-9999,0,0,0,0,4.013367652893066,3.7169458866119385,3.4977777004241943,3.2953834533691406,3.1191983222961426,3.0504677295684814,3.120572328567505,3.342071533203125,3.665286064147949,4.078157901763916,0,0,0,-9999
-9999,-9999,0,0,0,3.9511258602142334,3.5103681087493896,3.180968999862671,2.8789477348327637,2.577651023864746,2.324007987976074,2.2049102783203125,2.257276773452759,2.4927961826324463,0.31997013092041016,3.404994249343872,0,0,0,-9999
-9999,-9999,0,0,4.051753997802734,3.55664324760437,3.1390268802642822,2.7534637451171875,2.3809309005737305,2.0384676456451416,1.788243055343628,1.663905143737793,1.6916943788528442,1.8801833391189575,2.2270219326019287,2.715345621109009,3.312558889389038,0,0,-9999
-9999,0,0,4.315989017486572,3.7521111965179443,3.2547988891601562,2.7776262760162354,2.319196939468384,1.9158899784088135,1.6040316820144653,1.4068200588226318,1.3133113384246826,1.321755290031433,1.449187994003296,1.7016632556915283,0.4645606279373169,2.585818290710449,3.112147808074951,0,-9999
-9999,0,0,4.173961639404297,3.524120807647705,2.9226877689361572,2.3549325466156006,1.8548036813735962,1.478139042854309,1.23806893825531,1.1105612516403198,1.0537917613983154,1.0613694190979004,1.1373125314712524,1.3048994541168213,0.3509095013141632,1.9689297676086426,2.4046781063079834,0,-9999
