"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Shrimpers

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.2010194063186646,1.2000552415847778,-9999,-9999,1.2385600805282593,1.225669503211975,-9999,-9999,-9999
-9999,-9999,-9999,-9999,1.2067641019821167,1.2136741876602173,1.2249141931533813,1.2252744436264038,1.220710277557373,1.22018301486969,1.2072538137435913,1.2153478860855103,1.227790117263794,1.2376298904418945,1.2417335510253906,1.2435197830200195,1.2342095375061035,1.2233253717422485,-9999,-9999
-9999,-9999,-9999,1.2200437784194946,1.2263394594192505,1.2319427728652954,1.237115740776062,1.2347828149795532,1.2319070100784302,1.2270225286483765,1.2268389463424683,1.233429193496704,1.2457009553909302,1.256300926208496,1.268479347229004,1.2718101739883423,1.2616204023361206,1.2499700784683228,-9999,-9999
-9999,-9999,-9999,1.2348856925964355,1.2429136037826538,1.2568058967590332,1.258121371269226,1.2499489784240723,1.2268389463424683,1.189866542816162,1.1526806354522705,1.138107180595398,1.1573755741119385,1.204490065574646,1.2563925981521606,1.2847293615341187,1.288800835609436,1.296352744102478,-9999,-9999
-9999,-9999,1.2391369342803955,1.2527371644973755,1.2668266296386719,1.2744214534759521,1.2620030641555786,1.2261377573013306,1.1540809869766235,1.0479631423950195,0.9378408193588257,0.8838596940040588,0.9060194492340088,1.0061469078063965,1.1361008882522583,1.2295905351638794,1.2817844152450562,1.2993910312652588,1.2862236499786377,-9999
-9999,-9999,1.2526929378509521,1.2671910524368286,1.2882463932037354,1.2858084440231323,1.2494083642959595,1.165891408920288,1.0266081094741821,0.8489569425582886,0.6877895593643188,0.6056164503097534,0.6219368577003479,0.7400549054145813,0,1.090173363685608,1.2081382274627686,1.2659580707550049,1.281836748123169,-9999
-9999,-9999,1.2835841178894043,1.2997524738311768,1.307993769645691,1.2801710367202759,1.1958292722702026,1.0481500625610352,0.8528842329978943,0.6485300064086914,0.4933035373687744,0.41270431876182556,0.41719090938568115,0.5071649551391602,0.6735196709632874,0.8696739673614502,1.0390238761901855,1.1545581817626953,1.2024348974227905,-9999
-9999,1.2966850996017456,1.320133924484253,1.3263311386108398,1.3061631917953491,1.221153974533081,1.0630139112472534,0.8518710732460022,0.6360270380973816,0.4583512246608734,0.3430796265602112,0.2854916453361511,0.2819555401802063,0.33815550804138184,0.45530104637145996,0,0.8057920336723328,0.9485617280006409,1.0199018716812134,-9999
-9999,1.3285831212997437,1.3408204317092896,1.3259791135787964,1.2473114728927612,1.0774216651916504,0.8453143239021301,0.6045592427253723,0.4126679599285126,0.2884269952774048,0.22109447419643402,0.188630610704422,0.18669171631336212,0.21595093607902527,0.2868199050426483,0,0.549622118473053,0.6850021481513977,0.757381021976471,-9999
