"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Trawlers

Step,61
Year,5.083313
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.17826209962368011,0.17476966977119446,-9999,-9999,0.15454673767089844,0.14464591443538666,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.17970342934131622,0.1934196501970291,0.21827837824821472,0.23941974341869354,0.2536450922489166,0.26232513785362244,0.23805010318756104,0.21869806945323944,0.2171960473060608,0.21752429008483887,0.19649150967597961,0.17056666314601898,0.15354233980178833,0.14384356141090393,-9999,-9999
-9999,-9999,-9999,0.17220643162727356,0.18589560687541962,0.20484209060668945,0.2325151562690735,0.2605080306529999,0.2905522882938385,0.31551554799079895,0.3308670222759247,0.3280157446861267,0.3205655813217163,0.29397037625312805,0.2564217746257782,0.2144700586795807,0.18285156786441803,0.16644643247127533,-9999,-9999
-9999,-9999,-9999,0.17439225316047668,0.19135190546512604,0.22544603049755096,0.2677798569202423,0.3174440264701843,0.37838467955589294,0.4570198059082031,0.5314816832542419,0.56537264585495,0.5464622974395752,0.4708511233329773,0.3862169086933136,0.30247998237609863,0.24349623918533325,0.22817431390285492,-9999,-9999
-9999,-9999,0.15054817497730255,0.17226703464984894,0.2028866410255432,0.2500236928462982,0.3090149462223053,0.38516712188720703,0.4997270703315735,0.645809531211853,0.799248993396759,0.874279797077179,0.8583428263664246,0.7365245819091797,0.5777276158332825,0.4391308128833771,0.3432357609272003,0.3054720461368561,0.2832585871219635,-9999
-9999,-9999,0.15405943989753723,0.17551881074905396,0.22255700826644897,0.2893661558628082,0.37052029371261597,0.48313799500465393,0.645200252532959,0.8489927053451538,1.0532976388931274,1.1708089113235474,1.1632333993911743,1.0309042930603027,0,0.6401261687278748,0.4956308901309967,0.4079257845878601,0.37351661920547485,-9999
-9999,-9999,0.16959120333194733,0.20173801481723785,0.2690126597881317,0.36034542322158813,0.48031431436538696,0.635460615158081,0.8256555199623108,1.0443873405456543,1.2323195934295654,1.3550653457641602,1.3671526908874512,1.2680426836013794,1.0924761295318604,0.8846539258956909,0.7070109844207764,0.5805408954620361,0.5294551849365234,-9999
-9999,0.16543592512607574,0.19786487519741058,0.2533876597881317,0.3572348654270172,0.4986749291419983,0.6670250296592712,0.8686087131500244,1.0757734775543213,1.262520670890808,1.3978614807128906,1.4861479997634888,1.516884207725525,1.4651767015457153,1.3488632440567017,0,0.9676309823989868,0.812578022480011,0.745483934879303,-9999
-9999,0.20016689598560333,0.24257221817970276,0.3422398865222931,0.49947237968444824,0.7025099992752075,0.9346294403076172,1.1754831075668335,1.377082347869873,1.511767864227295,1.583500862121582,1.633816123008728,1.6595954895019531,1.6501319408416748,1.5848865509033203,0,1.2672183513641357,1.1026208400726318,1.0288338661193848,-9999
-9999,0.27332448959350586,0.33193638920783997,0.46815529465675354,0.6672213077545166,0.9182986617088318,1.2023729085922241,1.4684749841690063,1.644503116607666,1.7318944931030273,1.7712819576263428,1.8009921312332153,1.8317116498947144,1.839063286781311,1.8066611289978027,1.7259639501571655,1.5829520225524902,1.4336012601852417,1.3617075681686401,-9999
-9999,0.40049391984939575,0.47408995032310486,0.6463934779167175,0.8751672506332397,1.142053246498108,1.4315223693847656,1.6719309091567993,1.7983452081680298,1.842972755432129,1.8611971139907837,1.8932281732559204,0,0,1.9605424404144287,0,1.8428889513015747,1.7377101182937622,1.680627703666687,-9999
-9999,0.599185585975647,0.697123110294342,0.9083228707313538,1.14053213596344,1.3867981433868408,1.6237620115280151,1.7926709651947021,1.8459309339523315,1.8333821296691895,1.8192572593688965,1.831870198249817,0,0,0,1.9075428247451782,1.9109739065170288,1.8916237354278564,1.8569824695587158,-9999
-9999,0.8592495322227478,0.9779344797134399,1.218234658241272,1.4467620849609375,1.6373971700668335,1.7795718908309937,1.842397928237915,1.819476842880249,1.7619377374649048,1.7119269371032715,1.6824939250946045,0,0,0,1.6420642137527466,1.7098124027252197,1.8208873271942139,1.833884596824646,-9999
-9999,1.1037793159484863,1.2297977209091187,1.48259437084198,1.6867557764053345,1.8000633716583252,1.8400291204452515,1.8158869743347168,1.7481694221496582,1.6707795858383179,1.6038445234298706,1.5296744108200073,1.452701210975647,1.3761968612670898,0,0,1.3162903785705566,1.4747062921524048,-9999,-9999
-9999,1.26022469997406,1.3893773555755615,1.6319559812545776,1.788493037223816,1.829782485961914,1.7984635829925537,1.7282685041427612,1.6542162895202637,1.5843209028244019,0,0,0,1.1594312191009521,0,0,0.9202592372894287,0,-9999,-9999
