"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11
2000,0.08131468,0.061575547,3.1498115,1.9300123,1.3729724,8.745799,1.1290382,39.772064,16.757647,25.676847,11.13351
2001,0.083968215,0.06273654,3.4185855,2.243139,1.6031383,9.393692,1.3522787,39.27653,14.067988,30.486425,10.408751
2002,0.08706888,0.06383351,3.635877,2.5858948,1.8418633,8.591821,1.3058697,39.066994,14.011798,30.33109,10.538094
2003,0.09009245,0.06559081,3.7188044,2.8065736,1.8873693,7.77268,1.2335783,39.32107,14.234749,30.171766,10.585814
2004,0.09295932,0.068599425,3.6955338,2.894641,1.7812773,7.302489,1.2004919,39.568672,14.382259,29.982695,10.622813
2005,0.0956572,0.072885625,3.6217816,2.9052315,1.6609346,7.1522408,1.1971604,39.745045,14.4519205,29.905182,10.6471405
2006,0.09822451,0.07851033,3.531886,2.8868735,1.5857593,7.201466,1.2093693,39.848255,14.484531,29.941916,10.66247
2007,0.10073009,0.084726155,3.4384558,2.863968,1.5550027,7.337586,1.2265214,39.91013,14.507407,30.052122,10.673429
2008,0.1032302,0.090781696,3.3437834,2.8438675,1.5537878,7.4871235,1.2440786,39.96027,14.534241,30.197626,10.682969
2009,0.10575217,0.096550085,3.2464514,2.825426,1.5682632,7.6171308,1.2611822,40.01405,14.569093,30.352587,10.692604
2010,0.10830047,0.10191507,3.1447792,2.8053207,1.5887314,7.7235184,1.2785674,40.07579,14.609661,30.50315,10.702499
2011,0.11086915,0.106777854,3.0383034,2.781503,1.6099881,7.8155103,1.2971555,40.143147,14.651688,30.645216,10.712152
2012,0.11345151,0.11106473,2.927047,2.7534707,1.6304029,7.903766,1.317464,40.21227,14.691872,30.780294,10.721007
2013,0.116044305,0.11473403,2.8113415,2.721859,1.6503892,7.99509,1.3396773,40.28004,14.728337,30.911001,10.728592
2014,0.11864842,0.11777999,2.6917803,2.6878393,1.6709856,8.091401,1.3636498,40.344616,14.760526,31.038939,10.734708
2015,0.12126746,0.120232195,2.568649,2.652209,1.6929793,8.191571,1.3891817,40.405823,14.788608,31.164133,10.7394
2016,0.12390593,0.12214921,2.4420779,2.6152918,1.716668,8.2937155,1.416197,40.46426,14.812894,31.285627,10.7428465
2017,0.12656826,0.12360851,2.312297,2.5771387,1.7419977,8.396424,1.4446896,40.520573,14.833734,31.402596,10.745261
2018,0.12925835,0.12469462,2.17951,2.5375023,1.7687889,8.499177,1.4747089,40.57533,14.851394,31.514627,10.746831
2019,0.13198006,0.12548934,2.0441668,2.4961607,1.7969154,8.602176,1.5063306,40.62859,14.865952,31.621672,10.747632
2020,0.13473813,0.12606566,1.9177079,2.4631348,1.8261775,8.6998,1.5374093,40.671864,14.876362,31.721437,10.746704
2021,0.13753267,0.1264834,1.8054115,2.442635,1.8548608,8.777314,1.5636226,40.70816,14.888045,31.814024,10.745595
