"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11
2000,0,0.004549917,0.47247168,0.21444584,0.45765743,1.7491597,0.7056489,0,0,0,0
2001,0,0.004635705,0.5384272,0.26169953,0.5343794,1.8787384,0.84517425,0,0,0,0
2002,0,0.004716761,0.6015558,0.3169158,0.61395437,1.7183641,0.8161685,0,0,0,0
2003,0,0.0036349583,0.64595634,0.36111248,0.62912303,1.554536,0.7709864,0,0,0,0
2004,0,0.0025344614,0.6740653,0.39109817,0.59375906,1.460498,0.7503075,0,0,0,0
2005,0,0.0013464094,0.69320893,0.41189733,0.55364484,1.4304484,0.7482252,0,0,0,0
2006,0,0,0.709909,0.42982343,0.5285863,1.4402933,0.7558558,0,0,0,0
2007,0,0,0.725686,0.44773373,0.5183342,1.4675173,0.7665758,0,0,0,0
2008,0,0,0.7408152,0.46671033,0.51792926,1.4974247,0.7775491,0,0,0,0
2009,0,0,0.7552869,0.4869151,0.5227544,1.5234264,0.78823894,0,0,0,0
2010,0,0,0.7684267,0.5077631,0.5295771,1.5447036,0.7991047,0,0,0,0
2011,0,0,0.7793247,0.5284856,0.5366627,1.5631021,0.8107222,0,0,0,0
2012,0,0,0.7885463,0.54947037,0.5434676,1.5807532,0.823415,0,0,0,0
2013,0,0,0.79532856,0.57038087,0.5501297,1.599018,0.83729833,0,0,0,0
2014,0,0,0.79945874,0.5913247,0.55699515,1.6182804,0.8522811,0,0,0,0
2015,0,0,0.8010332,0.6126603,0.56432647,1.6383144,0.8682385,0,0,0,0
2016,0,0,0.7996585,0.63435364,0.5722226,1.6587433,0.8851232,0,0,0,0
2017,0,0,0.79496765,0.65631133,0.5806658,1.6792849,0.9029309,0,0,0,0
2018,0,0,0.78691196,0.678641,0.58959633,1.6998354,0.92169315,0,0,0,0
2019,0,0,0.7748413,0.70086646,0.5989718,1.7204353,0.94145674,0,0,0,0
2020,0,0,0.74128985,0.7052776,0.6087257,1.7399601,0.96088076,0,0,0,0
2021,0,0,0.71196395,0.7135208,0.6182869,1.7554631,0.97726417,0,0,0,0
2022,0,0,0.68512243,0.7239187,0.62666714,1.7667974,0.99156475,0,0,0,0
2023,0,0,0.65967983,0.7352624,0.6333425,1.7756044,1.0047446,0,0,0,0
2024,0,0,0.63554984,0.7474973,0.6384744,1.7835344,1.0172882,0,0,0,0
2025,0,0,0.6120783,0.76002216,0.64260525,1.791534,1.0294822,0,0,0,0
2026,0,0,0.5890331,0.7726865,0.64628637,1.7998295,1.0414267,0,0,0,0
2027,0,0,0.56624824,0.78537697,0.649875,1.8082886,1.053172,0,0,0,0
2028,0,0,0.5436016,0.79797786,0.65352696,1.8167409,1.0647669,0,0,0,0
2029,0,0,0.5210069,0.8103698,0.65728027,1.8251139,1.0762602,0,0,0,0
2030,0,0,0.49853,0.8226562,0.6611386,1.833444,1.0877078,0,0,0,0
2031,0,0,0.47594336,0.8344478,0.6651202,1.8418264,1.0991616,0,0,0,0
2032,0,0,0.45325708,0.8456757,0.66926247,1.8503113,1.1106123,0,0,0,0
2033,0,0,0.43049443,0.85627145,0.67359996,1.8589057,1.1220458,0,0,0,0
2034,0,0,0.4077783,0.86636776,0.67815465,1.8676127,1.1334629,0,0,0,0
2035,0,0,0.38499975,0.8755978,0.68294364,1.8764596,1.1448729,0,0,0,0
2036,0,0,0.3593879,0.8762676,0.6879533,1.8849325,1.1556321,0,0,0,0
2037,0,0,0.33380854,0.87263745,0.69285923,1.8913298,1.1643418,0,0,0,0
2038,0,0,0.31484482,0.8825822,0.6969407,1.8953018,1.1716858,0,0,0,0
2039,0,0,0.29614314,0.89106536,0.69995433,1.8992534,1.1795627,0,0,0,0
2040,0,0,0.27778372,0.89822763,0.7024985,1.9043616,1.1875696,0,0,0,0
2041,0,0,0.25731882,0.8945515,0.705172,1.9095732,1.1946958,0,0,0,0
2042,0,0,0.23932277,0.8938875,0.7077103,1.9122853,1.1995457,0,0,0,0
2043,0,0,0.22332579,0.8952832,0.7093272,1.9127074,1.203398,0,0,0,0
2044,0,0,0.20898443,0.8980775,0.7097047,1.912044,1.2065716,0,0,0,0
2045,0,0,0.19603916,0.90186065,0.70907474,1.9111105,1.2091978,0,0,0,0
2046,0,0,0.18428779,0.90637416,0.7078411,1.9101677,1.2113562,0,0,0,0
2047,0,0,0.17356761,0.91142726,0.7063153,1.9091734,1.2131261,0,0,0,0
2048,0,0,0.16374493,0.9168563,0.7046495,1.9080415,1.2145616,0,0,0,0
2049,0,0,0.15470897,0.9225206,0.70290107,1.9067498,1.2157396,0,0,0,0
