"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,ConsumptionBiomass

year\group,1,2,3,4,5,6,7,8,9,10,11
2000,10.183235,17.577398,3.1126554,3.5212278,4.9380145,9.741333,12.941625,12.479735,136.73605,0,0
2001,10.462844,16.56157,2.9597518,3.4302776,5.209557,11.435483,12.049995,13.101128,134.28702,0,0
2002,10.072077,16.396364,2.8302972,3.318073,4.930983,12.492871,12.235724,13.150993,134.1313,0,0
2003,9.787646,16.383644,2.7733543,3.264603,4.8230605,12.7989435,12.418054,13.156579,132.50026,0,0
2004,9.560757,16.27876,2.7767003,3.2485988,4.9086413,12.882687,12.466302,13.185521,131.28983,0,0
2005,9.403469,16.095057,2.8048594,3.2505753,5.001424,12.875515,12.454639,13.203336,130.79259,0,0
2006,9.326076,15.841952,2.8395789,3.2589428,5.049214,12.809596,12.416667,13.199261,130.75093,0,0
2007,9.295401,15.588157,2.8756902,3.2681131,5.0638843,12.717476,12.373947,13.176971,130.91225,0,0
2008,9.280083,15.353517,2.912391,3.275781,5.05979,12.622304,12.333694,13.143582,131.11421,0,0
2009,9.263944,15.139516,2.950239,3.2816145,5.047061,12.53379,12.2960005,13.105567,131.281,0,0
2010,9.2428255,14.949563,2.9901803,3.286349,5.0324554,12.452267,12.258374,13.067207,131.39917,0,0
2011,9.218566,14.785058,3.0328615,3.290903,5.0194244,12.374447,12.218591,13.030404,131.48592,0,0
2012,9.194282,14.646161,3.0788136,3.295889,5.0087457,12.297137,12.175613,12.995319,131.56343,0,0
2013,9.172442,14.532127,3.1282654,3.3015683,4.9997754,12.218587,12.12917,12.961441,131.64699,0,0
2014,9.1540365,14.441321,3.181215,3.3079016,4.9915385,12.13893,12.079827,12.92839,131.74248,0,0
2015,9.138862,14.37132,3.2377555,3.3147547,4.983432,12.059297,12.028118,12.896165,131.84941,0,0
2016,9.12633,14.31906,3.2980206,3.3220272,4.9753404,11.980918,11.974212,12.865044,131.96513,0,0
2017,9.115906,14.281167,3.3621218,3.3296747,4.9673924,11.904556,11.918155,12.8352785,132.08702,0,0
2018,9.107297,14.254376,3.4302447,3.3377106,4.9598,11.830426,11.859832,12.806994,132.21382,0,0
2019,9.100545,14.235833,3.5024433,3.3461857,4.952717,11.758347,11.799108,12.78019,132.34535,0,0
2020,9.095654,14.223377,3.5711002,3.3543084,4.944649,11.69094,11.743131,12.754677,132.47433,0,0
2021,9.084124,14.215622,3.6335628,3.3605032,4.93422,11.6355505,11.701415,12.730784,132.57773,0,0
2022,9.0644865,14.212079,3.691941,3.3654373,4.924138,11.589837,11.665405,12.709184,132.64659,0,0
2023,9.039786,14.2104025,3.7475555,3.3698483,4.916322,11.5488825,11.631822,12.689654,132.69014,0,0
2024,9.013528,14.209366,3.8014345,3.3742332,4.910997,11.509265,11.599488,12.671532,132.72285,0,0
2025,8.988099,14.208505,3.854208,3.3788068,4.907431,11.469693,11.567711,12.654336,132.75537,0,0
2026,8.964363,14.207741,3.9061558,3.3835468,4.9047227,11.430423,11.536491,12.637872,132.7921,0,0
2027,8.942265,14.207158,3.9574242,3.3883731,4.9022837,11.392001,11.505826,12.622083,132.83293,0,0
2028,8.921499,14.20679,4.008109,3.3932345,4.899913,11.354779,11.475632,12.60698,132.87645,0,0
