"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11
2000,0.82996076,0.7963943,0.75664395,0.8460081,0.86076164,1.2282608,0.8879101,1.0182592,1,1,1
2001,0.71905893,0.7429181,0.6705772,0.75925845,0.83233434,1.4762644,1.0103785,1.0398301,1,1,1
2002,0.6710165,0.75092596,0.6992025,0.7607429,0.88661724,1.5373217,1.0327034,1.0210494,1,1,1
2003,0.7130191,0.7498601,0.7583814,0.80537635,1.0812262,1.3290207,0.9669139,1.0196835,1,1,1
2004,0.7659413,0.7571023,0.78388786,0.8372865,1.1987027,1.2033205,0.9256642,1.0201117,1,1,1
2005,0.81951183,0.7764959,0.775083,0.8501506,1.198727,1.1571555,0.91081685,1.0206761,1,1,1
2006,0.86066985,0.80938363,0.7507839,0.85014725,1.1528252,1.1523167,0.9122148,1.0205938,1,1,1
2007,0.88494164,0.85393715,0.72309184,0.84409976,1.1067163,1.1656562,0.92098624,1.0198631,1,1,1
2008,0.8974829,0.90395546,0.69635135,0.8366148,1.0733718,1.1837906,0.9319505,1.0188044,1,1,1
2009,0.9053405,0.95783097,0.6713712,0.82992226,1.052967,1.1998626,0.9430912,1.0176638,1,1,1
2010,0.9129958,1.0142406,0.64778703,0.8244818,1.0415648,1.2120458,0.9542117,1.0166031,1,1,1
2011,0.9219327,1.0717332,0.62515706,0.819851,1.0346406,1.2214936,0.96588445,1.0156933,1,1,1
2012,0.93185955,1.1286746,0.603252,0.81541634,1.028853,1.2301699,0.97871894,1.0149416,1,1,1
2013,0.9418893,1.1832687,0.581984,0.81074065,1.0225302,1.2396005,0.9931434,1.0143403,1,1,1
2014,0.9512272,1.2337409,0.56143266,0.80565923,1.0153619,1.2504712,1.0093441,1.0138737,1,1,1
2015,0.9594888,1.2785803,0.54168385,0.8002042,1.0077335,1.2627956,1.0273457,1.0135325,1,1,1
2016,0.96664286,1.3167901,0.522771,0.7944688,1.0001111,1.2763174,1.0471998,1.0133129,1,1,1
2017,0.97281617,1.3480338,0.50471354,0.7885299,0.99276614,1.2907821,1.0690331,1.0132078,1,1,1
2018,0.9781447,1.3726074,0.48751163,0.7824235,0.985756,1.3060554,1.0930485,1.0132078,1,1,1
2019,0.98267436,1.3912573,0.4711583,0.7761426,0.978991,1.3221637,1.1195436,1.0133059,1,1,1
2020,0.98625374,1.4048891,0.45636114,0.7698155,0.9727123,1.3388745,1.1480683,1.0134975,1,1,1
2021,0.9905073,1.4146324,0.44409728,0.7644036,0.96874183,1.3531713,1.1746737,1.01363,1,1,1
2022,0.9977231,1.4208797,0.4337224,0.7601726,0.9674177,1.3634257,1.1981099,1.0138034,1,1,1
2023,1.0082299,1.4245256,0.42466626,0.7567329,0.9671616,1.3705935,1.2196589,1.0140172,1,1,1
2024,1.02107,1.4266027,0.41656086,0.7536364,0.9664379,1.376463,1.2403253,1.0142686,1,1,1
2025,1.0350002,1.427862,0.40916577,0.75058556,0.9645961,1.3823919,1.2608227,1.0145563,1,1,1
2026,1.0490917,1.4287366,0.40234625,0.7474754,0.96177846,1.3889307,1.2815282,1.0148733,1,1,1
2027,1.0629065,1.4294106,0.39601704,0.7443175,0.958448,1.3960556,1.3025895,1.0152137,1,1,1
2028,1.0763469,1.4299423,0.390116,0.7411514,0.954997,1.4035583,1.3240898,1.0155733,1,1,1
2029,1.0894357,1.4303552,0.3845929,0.7380001,0.95161337,1.4112872,1.34611,1.0159496,1,1,1
2030,1.1021701,1.4306755,0.3794026,0.7348607,0.94832253,1.4192187,1.3687533,1.0163416,1,1,1
2031,1.1144559,1.4309317,0.37450624,0.7317106,0.94506687,1.4274417,1.3921717,1.0167495,1,1,1
2032,1.1261574,1.431161,0.369881,0.7285363,0.9418104,1.4360405,1.4164435,1.017171,1,1,1
2033,1.1371781,1.4313802,0.36550987,0.7253377,0.93856424,1.4450439,1.4415878,1.0176059,1,1,1
2034,1.1474687,1.4315969,0.36137617,0.7221181,0.9353488,1.4544533,1.4676279,1.0180515,1,1,1
2035,1.1569781,1.4318118,0.35746372,0.7188732,0.9321587,1.4643012,1.494635,1.0185088,1,1,1
2036,1.1656784,1.4320091,0.35385033,0.71567583,0.92913485,1.474413,1.5220629,1.018972,1,1,1
2037,1.1748317,1.4321822,0.35073492,0.712965,0.92720574,1.4830661,1.5466957,1.0193932,1,1,1
2038,1.1869727,1.4321793,0.348057,0.7110181,0.9269597,1.488448,1.5666691,1.0197679,1,1,1
2039,1.2017565,1.4318776,0.345526,0.7092395,0.92673606,1.4925491,1.5862241,1.0201825,1,1,1
2040,1.216334,1.4317145,0.34310642,0.7072553,0.9251978,1.497767,1.6070014,1.0206032,1,1,1
2041,1.229071,1.431971,0.3408917,0.70516855,0.92283136,1.5044717,1.628008,1.021032,1,1,1
2042,1.2422518,1.4330477,0.33904526,0.7036717,0.9216431,1.509532,1.645342,1.0212168,1,1,1
2043,1.2588454,1.4337368,0.33747888,0.70283645,0.92204905,1.511257,1.6580964,1.021341,1,1,1
2044,1.2788664,1.4339972,0.33611825,0.70239854,0.9229259,1.5107881,1.6681031,1.0214939,1,1,1
2045,1.3007716,1.4340798,0.33491755,0.7021381,0.9233735,1.5094448,1.6760129,1.0215944,1,1,1
2046,1.323151,1.4341773,0.3338462,0.7019517,0.92326754,1.5080161,1.6823511,1.0217304,1,1,1
2047,1.3451668,1.4343215,0.33288488,0.7018211,0.9228141,1.5065366,1.6873838,1.0218188,1,1,1
2048,1.3665562,1.4345161,0.33201858,0.7017572,0.9222924,1.5049729,1.6913365,1.0219363,1,1,1
2049,1.3872037,1.4347162,0.33123454,0.70176154,0.92180705,1.503181,1.6943685,1.0220108,1,1,1
