"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,FIB

year,value
2000,0.19683152
2001,0.28563288
2002,0.23999141
2003,0.18199514
2004,0.14423469
2005,0.13190877
2006,0.13862161
2007,0.15429533
2008,0.1719511
2009,0.1884747
2010,0.20320867
2011,0.21656577
2012,0.22947145
2013,0.24225803
2014,0.25504753
2015,0.26783794
2016,0.28046322
2017,0.2928016
2018,0.30488217
2019,0.31662747
2020,0.32277334
2021,0.32858205
2022,0.3335283
2023,0.33788124
2024,0.34218502
2025,0.34665063
2026,0.3513576
2027,0.35626736
2028,0.36131635
2029,0.36646232
2030,0.3717371
2031,0.377095
2032,0.38253284
2033,0.38803372
2034,0.39361787
2035,0.39922178
2036,0.40323117
2037,0.40570545
2038,0.40962434
2039,0.41337022
2040,0.41725302
2041,0.41925776
2042,0.4207294
2043,0.42170832
2044,0.42241907
2045,0.42305127
2046,0.42368308
2047,0.4243166
2048,0.42492557
2049,0.4255
