"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,KemptonsQ

year,value
2000,1.8010969
2001,1.8503002
2002,1.8583183
2003,1.8479524
2004,1.8465551
2005,1.8504256
2006,1.8555566
2007,1.859849
2008,1.8636246
2009,1.8676125
2010,1.8724324
2011,1.8783069
2012,1.8851537
2013,1.8928262
2014,1.9011688
2015,1.9101043
2016,1.9196476
2017,1.9298296
2018,1.9406766
2019,1.9522024
2020,1.963642
2021,1.9734669
2022,1.9824518
2023,1.9845649
2024,1.9497137
2025,1.9098234
2026,1.8714113
2027,1.8342448
2028,1.7981502
2029,1.7629833
2030,1.7285818
2031,1.6948313
2032,1.6616846
2033,1.6291169
2034,1.5970813
2035,1.5655571
2036,1.5357327
2037,1.5092291
2038,1.4847652
2039,1.4607795
2040,1.4372278
2041,1.4154502
2042,1.3962513
2043,1.3790795
2044,1.363536
2045,1.349289
2046,1.3361602
2047,1.3239788
2048,1.3126506
2049,1.3020519
