"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,Landings

year,fleet,group,value
2000,1,1,0
2000,1,2,0.004549917
2000,1,3,0
2000,1,4,0
2000,1,5,0
2000,1,6,0
2000,1,7,0
2000,1,8,0
2000,1,9,0
2000,1,10,0
2000,1,11,0
2000,2,1,0
2000,2,2,0
2000,2,3,0.47247168
2000,2,4,0.21444584
2000,2,5,0
2000,2,6,0
2000,2,7,0
2000,2,8,0
2000,2,9,0
2000,2,10,0
2000,2,11,0
2000,3,1,0
2000,3,2,0
2000,3,3,0
2000,3,4,0
2000,3,5,0.45765743
2000,3,6,1.4992799
2000,3,7,0
2000,3,8,0
2000,3,9,0
2000,3,10,0
2000,3,11,0
2000,4,1,0
2000,4,2,0
2000,4,3,0
2000,4,4,0
2000,4,5,0
2000,4,6,0.24987996
2000,4,7,0
2000,4,8,0
2000,4,9,0
2000,4,10,0
2000,4,11,0
2000,5,1,0
2000,5,2,0
2000,5,3,0
2000,5,4,0
2000,5,5,0
2000,5,6,0
2000,5,7,0.7056489
2000,5,8,0
2000,5,9,0
2000,5,10,0
2000,5,11,0
2001,1,1,0
2001,1,2,0.004635705
2001,1,3,0
2001,1,4,0
2001,1,5,0
2001,1,6,0
2001,1,7,0
2001,1,8,0
2001,1,9,0
2001,1,10,0
2001,1,11,0
2001,2,1,0
2001,2,2,0
2001,2,3,0.5384272
2001,2,4,0.26169953
2001,2,5,0
2001,2,6,0
2001,2,7,0
2001,2,8,0
2001,2,9,0
2001,2,10,0
2001,2,11,0
2001,3,1,0
2001,3,2,0
2001,3,3,0
2001,3,4,0
2001,3,5,0.5343794
2001,3,6,1.6103473
2001,3,7,0
2001,3,8,0
2001,3,9,0
2001,3,10,0
2001,3,11,0
2001,4,1,0
2001,4,2,0
2001,4,3,0
2001,4,4,0
2001,4,5,0
2001,4,6,0.26839116
2001,4,7,0
2001,4,8,0
2001,4,9,0
2001,4,10,0
2001,4,11,0
2001,5,1,0
2001,5,2,0
2001,5,3,0
2001,5,4,0
2001,5,5,0
2001,5,6,0
2001,5,7,0.84517425
2001,5,8,0
2001,5,9,0
2001,5,10,0
2001,5,11,0
2002,1,1,0
2002,1,2,0.004716761
2002,1,3,0
2002,1,4,0
2002,1,5,0
2002,1,6,0
2002,1,7,0
2002,1,8,0
2002,1,9,0
2002,1,10,0
2002,1,11,0
2002,2,1,0
2002,2,2,0
2002,2,3,0.6015558
2002,2,4,0.3169158
2002,2,5,0
2002,2,6,0
2002,2,7,0
2002,2,8,0
2002,2,9,0
2002,2,10,0
2002,2,11,0
2002,3,1,0
2002,3,2,0
2002,3,3,0
2002,3,4,0
2002,3,5,0.61395437
2002,3,6,1.4728836
2002,3,7,0
2002,3,8,0
2002,3,9,0
2002,3,10,0
2002,3,11,0
2002,4,1,0
2002,4,2,0
2002,4,3,0
2002,4,4,0
2002,4,5,0
2002,4,6,0.24548058
2002,4,7,0
2002,4,8,0
2002,4,9,0
2002,4,10,0
2002,4,11,0
2002,5,1,0
2002,5,2,0
2002,5,3,0
2002,5,4,0
2002,5,5,0
2002,5,6,0
2002,5,7,0.8161685
2002,5,8,0
2002,5,9,0
2002,5,10,0
2002,5,11,0
2003,1,1,0
2003,1,2,0.0036349583
2003,1,3,0
2003,1,4,0
2003,1,5,0
2003,1,6,0
2003,1,7,0
2003,1,8,0
2003,1,9,0
2003,1,10,0
2003,1,11,0
2003,2,1,0
2003,2,2,0
2003,2,3,0.64595634
2003,2,4,0.36111248
2003,2,5,0
2003,2,6,0
2003,2,7,0
2003,2,8,0
2003,2,9,0
2003,2,10,0
2003,2,11,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,3,5,0.62912303
2003,3,6,1.3324593
2003,3,7,0
2003,3,8,0
2003,3,9,0
2003,3,10,0
2003,3,11,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,4,5,0
2003,4,6,0.22207658
2003,4,7,0
2003,4,8,0
2003,4,9,0
2003,4,10,0
2003,4,11,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,5,5,0
2003,5,6,0
2003,5,7,0.7709864
2003,5,8,0
2003,5,9,0
2003,5,10,0
2003,5,11,0
2004,1,1,0
2004,1,2,0.0025344614
2004,1,3,0
2004,1,4,0
2004,1,5,0
2004,1,6,0
2004,1,7,0
2004,1,8,0
2004,1,9,0
2004,1,10,0
2004,1,11,0
2004,2,1,0
2004,2,2,0
2004,2,3,0.6740653
2004,2,4,0.39109817
2004,2,5,0
2004,2,6,0
2004,2,7,0
2004,2,8,0
2004,2,9,0
2004,2,10,0
2004,2,11,0
2004,3,1,0
2004,3,2,0
2004,3,3,0
2004,3,4,0
2004,3,5,0.59375906
2004,3,6,1.2518553
2004,3,7,0
2004,3,8,0
2004,3,9,0
2004,3,10,0
2004,3,11,0
2004,4,1,0
2004,4,2,0
2004,4,3,0
2004,4,4,0
2004,4,5,0
2004,4,6,0.20864254
2004,4,7,0
2004,4,8,0
2004,4,9,0
2004,4,10,0
2004,4,11,0
2004,5,1,0
2004,5,2,0
2004,5,3,0
2004,5,4,0
2004,5,5,0
2004,5,6,0
2004,5,7,0.7503075
2004,5,8,0
2004,5,9,0
2004,5,10,0
2004,5,11,0
2005,1,1,0
2005,1,2,0.0013464094
2005,1,3,0
2005,1,4,0
2005,1,5,0
2005,1,6,0
2005,1,7,0
2005,1,8,0
2005,1,9,0
2005,1,10,0
2005,1,11,0
2005,2,1,0
2005,2,2,0
2005,2,3,0.69320893
2005,2,4,0.41189733
2005,2,5,0
2005,2,6,0
2005,2,7,0
2005,2,8,0
2005,2,9,0
2005,2,10,0
2005,2,11,0
2005,3,1,0
2005,3,2,0
2005,3,3,0
2005,3,4,0
2005,3,5,0.55364484
2005,3,6,1.2260987
2005,3,7,0
2005,3,8,0
2005,3,9,0
2005,3,10,0
2005,3,11,0
2005,4,1,0
2005,4,2,0
2005,4,3,0
2005,4,4,0
2005,4,5,0
2005,4,6,0.20434976
2005,4,7,0
2005,4,8,0
2005,4,9,0
2005,4,10,0
2005,4,11,0
2005,5,1,0
2005,5,2,0
2005,5,3,0
2005,5,4,0
2005,5,5,0
2005,5,6,0
2005,5,7,0.7482252
2005,5,8,0
2005,5,9,0
2005,5,10,0
2005,5,11,0
2006,1,1,0
2006,1,2,0
2006,1,3,0
2006,1,4,0
2006,1,5,0
2006,1,6,0
2006,1,7,0
2006,1,8,0
2006,1,9,0
2006,1,10,0
2006,1,11,0
2006,2,1,0
2006,2,2,0
2006,2,3,0.709909
2006,2,4,0.42982343
2006,2,5,0
2006,2,6,0
2006,2,7,0
2006,2,8,0
2006,2,9,0
2006,2,10,0
2006,2,11,0
2006,3,1,0
2006,3,2,0
2006,3,3,0
2006,3,4,0
2006,3,5,0.5285863
2006,3,6,1.2345371
2006,3,7,0
2006,3,8,0
2006,3,9,0
2006,3,10,0
2006,3,11,0
2006,4,1,0
2006,4,2,0
2006,4,3,0
2006,4,4,0
2006,4,5,0
2006,4,6,0.20575617
2006,4,7,0
2006,4,8,0
2006,4,9,0
2006,4,10,0
2006,4,11,0
2006,5,1,0
2006,5,2,0
2006,5,3,0
2006,5,4,0
2006,5,5,0
2006,5,6,0
2006,5,7,0.7558558
2006,5,8,0
2006,5,9,0
2006,5,10,0
2006,5,11,0
2007,1,1,0
2007,1,2,0
2007,1,3,0
2007,1,4,0
2007,1,5,0
2007,1,6,0
2007,1,7,0
2007,1,8,0
2007,1,9,0
2007,1,10,0
2007,1,11,0
2007,2,1,0
2007,2,2,0
2007,2,3,0.725686
2007,2,4,0.44773373
2007,2,5,0
2007,2,6,0
2007,2,7,0
2007,2,8,0
2007,2,9,0
2007,2,10,0
2007,2,11,0
2007,3,1,0
2007,3,2,0
2007,3,3,0
2007,3,4,0
2007,3,5,0.5183342
2007,3,6,1.2578719
2007,3,7,0
2007,3,8,0
2007,3,9,0
2007,3,10,0
2007,3,11,0
2007,4,1,0
2007,4,2,0
2007,4,3,0
2007,4,4,0
2007,4,5,0
2007,4,6,0.20964529
2007,4,7,0
2007,4,8,0
2007,4,9,0
2007,4,10,0
2007,4,11,0
2007,5,1,0
2007,5,2,0
2007,5,3,0
2007,5,4,0
2007,5,5,0
2007,5,6,0
2007,5,7,0.7665758
2007,5,8,0
2007,5,9,0
2007,5,10,0
2007,5,11,0
2008,1,1,0
2008,1,2,0
2008,1,3,0
2008,1,4,0
2008,1,5,0
2008,1,6,0
2008,1,7,0
2008,1,8,0
2008,1,9,0
2008,1,10,0
2008,1,11,0
2008,2,1,0
2008,2,2,0
2008,2,3,0.7408152
2008,2,4,0.46671033
2008,2,5,0
2008,2,6,0
2008,2,7,0
2008,2,8,0
2008,2,9,0
2008,2,10,0
2008,2,11,0
2008,3,1,0
2008,3,2,0
2008,3,3,0
2008,3,4,0
2008,3,5,0.51792926
2008,3,6,1.283507
2008,3,7,0
2008,3,8,0
2008,3,9,0
2008,3,10,0
2008,3,11,0
2008,4,1,0
2008,4,2,0
2008,4,3,0
2008,4,4,0
2008,4,5,0
2008,4,6,0.21391779
2008,4,7,0
2008,4,8,0
2008,4,9,0
2008,4,10,0
2008,4,11,0
2008,5,1,0
2008,5,2,0
2008,5,3,0
2008,5,4,0
2008,5,5,0
2008,5,6,0
2008,5,7,0.7775491
2008,5,8,0
2008,5,9,0
2008,5,10,0
2008,5,11,0
2009,1,1,0
2009,1,2,0
2009,1,3,0
2009,1,4,0
2009,1,5,0
2009,1,6,0
2009,1,7,0
2009,1,8,0
2009,1,9,0
2009,1,10,0
2009,1,11,0
2009,2,1,0
2009,2,2,0
