"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,Mortality

year\group,1,2,3,4,5,6,7,8,9,10,11
2000,0.025159461,0.1550401,0.27334434,0.49677038,0.6619763,1.1893283,2.5682976,3.1519783,38.11158,235.51054,0
2001,0.02204132,0.14831011,0.27056924,0.46865544,0.6575505,1.3741869,2.8866165,3.3447073,39.799652,707.31134,0
2002,0.020011151,0.14880155,0.29151675,0.49438277,0.6891308,1.566059,3.0929906,3.2937682,39.86041,727.68353,0
2003,0.021209596,0.13003339,0.32237333,0.54892415,0.7904311,1.5807644,3.1071196,3.2896588,39.3308,732.063,0
2004,0.022784377,0.11208642,0.34458545,0.5876558,0.85129005,1.5395461,3.0859652,3.2921448,38.95069,737.41895,0
2005,0.024406778,0.09540129,0.35666597,0.6063569,0.85159296,1.4969335,3.0604923,3.2958472,38.79951,741.0698,0
2006,0.025683813,0.08010008,0.36367154,0.6129199,0.8291767,1.4687858,3.0422528,3.2977793,38.802513,742.71796,0
2007,0.026450826,0.08451126,0.36918616,0.6143697,0.80777884,1.4552721,3.0307217,3.2973578,38.87976,743.0737,0
2008,0.026847797,0.089501716,0.374913,0.61479336,0.79372954,1.4512702,3.0223663,3.2954185,38.97675,742.8652,0
2009,0.027088841,0.09489434,0.38152656,0.6160211,0.7867934,1.45131,3.0146055,3.2928894,39.066143,742.56055,0
2010,0.027316561,0.100557595,0.38897383,0.61820465,0.7847166,1.451632,3.0059507,3.2904117,39.141155,742.36304,0
2011,0.027581776,0.10634736,0.39692095,0.62076944,0.7850062,1.4506301,2.9960587,3.2882826,39.20589,742.29596,0
2012,0.027878502,0.11210085,0.4055587,0.6234687,0.7858341,1.4481927,2.9850388,3.2865126,39.267025,742.3069,0
2013,0.028180623,0.11763749,0.41469455,0.62590516,0.78628683,1.4448832,2.9731543,3.2850485,39.329544,742.32623,0
2014,0.028463488,0.12277635,0.42437723,0.62805194,0.7861905,1.44137,2.9607499,3.283808,39.39534,742.3105,0
2015,0.028714484,0.12736048,0.43482912,0.6301212,0.78575593,1.4380318,2.9478884,3.282735,39.46401,742.24603,0
2016,0.02893202,0.13128275,0.4460995,0.632217,0.785243,1.4349478,2.9345129,3.281819,39.534306,742.1391,0
2017,0.029119713,0.1345023,0.45822325,0.6344209,0.78480554,1.4320456,2.9205978,3.281059,39.60518,742.00323,0
2018,0.02928176,0.1370434,0.4713744,0.6368855,0.7844798,1.4291877,2.9060624,3.2804415,39.67609,741.8487,0
2019,0.029419817,0.13897784,0.48540547,0.63950413,0.7842199,1.4262867,2.8909285,3.279975,39.74705,741.6772,0
2020,0.029529238,0.14039609,0.48892298,0.6344594,0.78410727,1.4253259,2.880376,3.2801008,39.81664,741.4401,0
2021,0.02965203,0.14141382,0.49366626,0.63150954,0.78507537,1.426798,2.8740265,3.2799387,39.875214,741.2297,0
2022,0.02986049,0.14207305,0.499238,0.6302317,0.7873738,1.4284018,2.8673468,3.2797763,39.920162,741.1243,0
2023,0.030169,0.14245972,0.50523853,0.62994814,0.7901296,1.4290637,2.8604286,3.279752,39.955513,741.1258,0
2024,0.030550646,0.14267977,0.5118111,0.6304168,0.7924652,1.4287761,2.8533294,3.2798595,39.98659,741.18335,0
2025,0.030967928,0.142812,0.51869154,0.6312104,0.7940116,1.4279637,2.8461335,3.280076,40.017044,741.24634,0
