"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,ShannonDiversity

year,value
2000,1.4692997
2001,1.5078831
2002,1.5183433
2003,1.5154024
2004,1.5080799
2005,1.5019151
2006,1.4986562
2007,1.4974686
2008,1.4971489
2009,1.4968959
2010,1.4963456
2011,1.4954473
2012,1.4942756
2013,1.4929332
2014,1.4914929
2015,1.4899739
2016,1.488366
2017,1.486653
2018,1.484819
2019,1.4828631
2020,1.481227
2021,1.4798404
2022,1.4784333
2023,1.4769577
2024,1.4754419
2025,1.4739342
2026,1.4724644
2027,1.4710351
2028,1.469634
2029,1.4682482
2030,1.4668645
2031,1.4654803
2032,1.464098
2033,1.4627177
2034,1.4613342
2035,1.459947
2036,1.4587077
2037,1.4577116
2038,1.456662
2039,1.4554993
2040,1.4543282
2041,1.4534
2042,1.4526213
2043,1.4518609
2044,1.4511237
2045,1.4504195
2046,1.4497752
2047,1.449183
2048,1.4486428
2049,1.4481369
