"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,TL

year\group,1,2,3,4,5,6,7,8,9,10,11
2000,4.119518,3.3370693,3.4728096,3.7980719,3.6464512,3,3.2371452,2.2371447,2,1,1
2001,4.128408,3.350546,3.515607,3.8314219,3.654557,3,3.2423525,2.242353,2,1,1
2002,4.1578603,3.3589633,3.5200245,3.8346536,3.659324,3,3.23802,2.2380202,2,1,1
2003,4.191911,3.369161,3.505741,3.8236754,3.627154,3,3.2393923,2.239392,2,1,1
2004,4.201784,3.3734274,3.496627,3.8145916,3.5981715,3,3.240633,2.2406328,2,1,1
2005,4.194657,3.373045,3.4932556,3.8097792,3.5805912,3,3.2413118,2.241312,2,1,1
2006,4.1840477,3.370601,3.4934924,3.8085253,3.574971,3,3.2415388,2.2415385,2,1,1
2007,4.1753716,3.3676186,3.4954774,3.8091993,3.5771072,3,3.2415311,2.2415307,2,1,1
2008,4.1694884,3.3647249,3.4980009,3.8104298,3.5823963,3,3.241475,2.241475,2,1,1
2009,4.165806,3.3620298,3.500454,3.8114712,3.5880525,3,3.2414606,2.24146,2,1,1
2010,4.163388,3.3594615,3.5026817,3.8121312,3.5930707,3,3.2415075,2.2415075,2,1,1
2011,4.1614385,3.356942,3.5047877,3.812536,3.597481,3,3.2416022,2.2416022,2,1,1
2012,4.159483,3.3544276,3.5069325,3.8128862,3.6016655,3,3.2417214,2.2417214,2,1,1
2013,4.157362,3.351919,3.5092442,3.8133411,3.605979,3,3.2418501,2.2418501,2,1,1
2014,4.155125,3.3494456,3.5117807,3.813977,3.610596,3,3.2419803,2.2419806,2,1,1
2015,4.152887,3.3470356,3.514539,3.8147945,3.615523,3,3.2421112,2.2421114,2,1,1
2016,4.150729,3.344704,3.5174983,3.8157709,3.6206892,3,3.2422447,2.242245,2,1,1
2017,4.1486893,3.342457,3.520642,3.8168848,3.6260157,3,3.242382,2.242382,2,1,1
2018,4.146764,3.3402917,3.523961,3.8181264,3.6314514,3,3.242523,2.2425227,2,1,1
2019,4.1449313,3.338206,3.527459,3.8195026,3.636985,3,3.2426665,2.2426665,2,1,1
2020,4.143552,3.3365228,3.5311794,3.8211462,3.642493,3,3.2428,2.2428,2,1,1
2021,4.1429305,3.3353453,3.5345585,3.8226833,3.6472614,3,3.2429209,2.2429206,2,1,1
2022,4.1427813,3.3345015,3.5374305,3.823919,3.6509848,3,3.2430665,2.2430665,2,1,1
2023,4.1426864,3.3338673,3.5399673,3.824959,3.6538608,3,3.24323,2.24323,2,1,1
2024,4.1423726,3.333352,3.542323,3.8259323,3.6562588,3,3.2434006,2.2434008,2,1,1
2025,4.141786,3.3329022,3.5445998,3.8269234,3.658492,3,3.2435682,2.2435684,2,1,1
2026,4.1410117,3.332492,3.5468388,3.8279598,3.6607227,3,3.2437289,2.2437289,2,1,1
2027,4.140162,3.3321102,3.5490415,3.8290303,3.6629934,3,3.243882,2.243882,2,1,1
2028,4.1393104,3.3317487,3.5512016,3.8301156,3.665293,3,3.2440288,2.2440293,2,1,1
2029,4.138483,3.331399,3.5533152,3.831206,3.6676073,3,3.2441719,2.2441719,2,1,1
2030,4.137674,3.331052,3.5553837,3.8322961,3.6699362,3,3.2443106,2.2443106,2,1,1
2031,4.1368694,3.3307,3.5574162,3.8333929,3.6722984,3,3.2444458,2.2444458,2,1,1
2032,4.1360674,3.3303397,3.559415,3.8344972,3.6747093,3,3.2445767,2.2445767,2,1,1
2033,4.1352715,3.3299696,3.5613773,3.8356082,3.6771748,3,3.2447033,2.2447035,2,1,1
2034,4.1344867,3.329584,3.563298,3.8367207,3.6796968,3,3.2448256,2.2448256,2,1,1
2035,4.1337075,3.3291798,3.5651767,3.8378336,3.6822798,3,3.2449443,2.2449443,2,1,1
2036,4.1330714,3.3288667,3.5670252,3.838968,3.684867,3,3.245054,2.2450545,2,1,1
2037,4.132834,3.3287647,3.5686572,3.8399906,3.6871154,3,3.2451553,2.2451553,2,1,1
2038,4.132851,3.3287222,3.5698967,3.8407323,3.6887429,3,3.245268,2.245268,2,1,1
2039,4.1326547,3.328634,3.5710528,3.8414066,3.6900997,3,3.2453957,2.2453957,2,1,1
2040,4.1321144,3.3284934,3.5722344,3.8421357,3.691562,3,3.245515,2.245515,2,1,1
2041,4.1315284,3.3284233,3.573436,3.8429365,3.6930325,3,3.2455938,2.2455933,2,1,1
2042,4.131298,3.3284614,3.5743506,3.8435516,3.6939957,3,3.2456152,2.2456152,2,1,1
2043,4.1313553,3.3286076,3.575013,3.8439615,3.6944187,3,3.2456558,2.245656,2,1,1
2044,4.131399,3.328828,3.5755322,3.8442566,3.6943588,3,3.2457054,2.2457054,2,1,1
2045,4.131303,3.3290946,3.5759706,3.8445053,3.6940937,3,3.2457561,2.2457566,2,1,1
2046,4.1310678,3.329386,3.5763533,3.8447306,3.6936905,3,3.245805,2.2458055,2,1,1
2047,4.1307845,3.3296974,3.5766938,3.844941,3.693265,3,3.2458508,2.2458513,2,1,1
2048,4.1305013,3.3300183,3.57699,3.845126,3.692767,3,3.2458944,2.2458944,2,1,1
2049,4.130251,3.330347,3.5772495,3.845288,3.6922529,3,3.2459362,2.2459362,2,1,1
