"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,TLC

year,value
2000,3.2385666
2001,3.258662
2002,3.289197
2003,3.3037794
2004,3.3073845
2005,3.306919
2006,3.3064995
2007,3.3072398
2008,3.3090992
2009,3.3117228
2010,3.314643
2011,3.3174846
2012,3.3202171
2013,3.3227637
2014,3.3251724
2015,3.32753
2016,3.3298395
2017,3.332083
2018,3.334265
2019,3.3363068
2020,3.3358183
2021,3.3360388
2022,3.336571
2023,3.3371446
2024,3.337722
2025,3.3382473
2026,3.338744
2027,3.3392308
2028,3.339709
2029,3.3401663
2030,3.3406136
2031,3.3410003
2032,3.3413236
2033,3.3415797
2034,3.3417892
2035,3.3419123
2036,3.341096
2037,3.339926
2038,3.3403943
2039,3.3405874
2040,3.340566
2041,3.3393698
2042,3.3386538
2043,3.3382254
2044,3.3379173
2045,3.3376894
2046,3.3375313
2047,3.3374577
2048,3.3374548
2049,3.3375156
