"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,TotalCatch

year,value
2000,3.6039333
2001,4.063054
2002,4.071675
2003,3.965349
2004,3.8722622
2005,3.8387709
2006,3.8644683
2007,3.9258468
2008,4.000429
2009,4.0766215
2010,4.1495757
2011,4.218297
2012,4.2856526
2013,4.352155
2014,4.41834
2015,4.484573
2016,4.5501013
2017,4.6141605
2018,4.676678
2019,4.736572
2020,4.7561345
2021,4.776499
2022,4.7940707
2023,4.808634
2024,4.8223443
2025,4.8357224
2026,4.8492627
2027,4.862961
2028,4.876614
2029,4.8900313
2030,4.903477
2031,4.9164996
2032,4.929119
2033,4.941317
2034,4.9533763
2035,4.964874
2036,4.9641733
2037,4.9549766
2038,4.9613557
2039,4.9659786
2040,4.9704413
2041,4.9613113
2042,4.9527516
2043,4.9440417
2044,4.9353824
2045,4.927283
2046,4.9200273
2047,4.9136095
2048,4.9078536
2049,4.90262
