"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,ValueFleetGroup

year,fleet,group,value
2000,1,1,0
2000,1,2,0.027299501
2000,1,3,0
2000,1,4,0
2000,1,5,0
2000,1,6,0
2000,1,7,0
2000,1,8,0
2000,1,9,0
2000,1,10,0
2000,1,11,0
2000,2,1,0
2000,2,2,0
2000,2,3,4.7247167
2000,2,4,0.8577834
2000,2,5,0
2000,2,6,0
2000,2,7,0
2000,2,8,0
2000,2,9,0
2000,2,10,0
2000,2,11,0
2000,3,1,0
2000,3,2,0
2000,3,3,0
2000,3,4,0
2000,3,5,1.8306297
2000,3,6,2.9985597
2000,3,7,0
2000,3,8,0
2000,3,9,0
2000,3,10,0
2000,3,11,0
2000,4,1,0
2000,4,2,0
2000,4,3,0
2000,4,4,0
2000,4,5,0
2000,4,6,0.7496399
2000,4,7,0
2000,4,8,0
2000,4,9,0
2000,4,10,0
2000,4,11,0
2000,5,1,0
2000,5,2,0
2000,5,3,0
2000,5,4,0
2000,5,5,0
2000,5,6,0
2000,5,7,14.112977
2000,5,8,0
2000,5,9,0
2000,5,10,0
2000,5,11,0
2001,1,1,0
2001,1,2,0.02781423
2001,1,3,0
2001,1,4,0
2001,1,5,0
2001,1,6,0
2001,1,7,0
2001,1,8,0
2001,1,9,0
2001,1,10,0
2001,1,11,0
2001,2,1,0
2001,2,2,0
2001,2,3,5.3842716
2001,2,4,1.0467981
2001,2,5,0
2001,2,6,0
2001,2,7,0
2001,2,8,0
2001,2,9,0
2001,2,10,0
2001,2,11,0
2001,3,1,0
2001,3,2,0
2001,3,3,0
2001,3,4,0
2001,3,5,2.1375177
2001,3,6,3.2206945
2001,3,7,0
2001,3,8,0
2001,3,9,0
2001,3,10,0
2001,3,11,0
2001,4,1,0
2001,4,2,0
2001,4,3,0
2001,4,4,0
2001,4,5,0
2001,4,6,0.80517346
2001,4,7,0
2001,4,8,0
2001,4,9,0
2001,4,10,0
2001,4,11,0
2001,5,1,0
2001,5,2,0
2001,5,3,0
2001,5,4,0
2001,5,5,0
2001,5,6,0
2001,5,7,16.903484
2001,5,8,0
2001,5,9,0
2001,5,10,0
2001,5,11,0
2002,1,1,0
2002,1,2,0.028300568
2002,1,3,0
2002,1,4,0
2002,1,5,0
2002,1,6,0
2002,1,7,0
2002,1,8,0
2002,1,9,0
2002,1,10,0
2002,1,11,0
2002,2,1,0
2002,2,2,0
2002,2,3,6.0155582
2002,2,4,1.2676632
2002,2,5,0
2002,2,6,0
2002,2,7,0
2002,2,8,0
2002,2,9,0
2002,2,10,0
2002,2,11,0
2002,3,1,0
2002,3,2,0
2002,3,3,0
2002,3,4,0
2002,3,5,2.4558175
2002,3,6,2.9457672
2002,3,7,0
2002,3,8,0
2002,3,9,0
2002,3,10,0
2002,3,11,0
2002,4,1,0
2002,4,2,0
2002,4,3,0
2002,4,4,0
2002,4,5,0
2002,4,6,0.7364417
2002,4,7,0
2002,4,8,0
2002,4,9,0
2002,4,10,0
2002,4,11,0
2002,5,1,0
2002,5,2,0
2002,5,3,0
2002,5,4,0
2002,5,5,0
2002,5,6,0
2002,5,7,16.32337
2002,5,8,0
2002,5,9,0
2002,5,10,0
2002,5,11,0
2003,1,1,0
2003,1,2,0.02180975
2003,1,3,0
2003,1,4,0
2003,1,5,0
2003,1,6,0
2003,1,7,0
2003,1,8,0
2003,1,9,0
2003,1,10,0
2003,1,11,0
2003,2,1,0
2003,2,2,0
2003,2,3,6.4595637
2003,2,4,1.4444499
2003,2,5,0
2003,2,6,0
2003,2,7,0
2003,2,8,0
2003,2,9,0
2003,2,10,0
2003,2,11,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,3,5,2.5164921
2003,3,6,2.6649187
2003,3,7,0
