"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,Value

year\group,1,2,3,4,5,6,7,8,9,10,11
2000,0,0.027299501,4.7247167,0.8577834,1.8306297,3.7481995,14.112977,0,0,0,0
2001,0,0.02781423,5.3842716,1.0467981,2.1375177,4.0258684,16.903484,0,0,0,0
2002,0,0.028300568,6.0155582,1.2676632,2.4558175,3.6822088,16.32337,0,0,0,0
2003,0,0.02180975,6.4595637,1.4444499,2.5164921,3.3311484,15.41973,0,0,0,0
2004,0,0.015206769,6.7406526,1.5643927,2.3750362,3.1296387,15.006149,0,0,0,0
2005,0,0.008078456,6.9320893,1.6475893,2.2145793,3.0652463,14.964504,0,0,0,0
2006,0,0,7.09909,1.7192937,2.1143453,3.0863428,15.117116,0,0,0,0
2007,0,0,7.2568593,1.7909349,2.0733368,3.1446798,15.331517,0,0,0,0
2008,0,0,7.408151,1.8668413,2.071717,3.2087677,15.550983,0,0,0,0
2009,0,0,7.5528693,1.9476604,2.0910175,3.2644846,15.764778,0,0,0,0
2010,0,0,7.6842675,2.0310524,2.1183083,3.3100793,15.982094,0,0,0,0
2011,0,0,7.7932467,2.1139424,2.1466508,3.3495047,16.214445,0,0,0,0
2012,0,0,7.8854637,2.1978815,2.1738703,3.3873281,16.468302,0,0,0,0
2013,0,0,7.9532857,2.2815235,2.2005188,3.426467,16.745966,0,0,0,0
2014,0,0,7.9945884,2.3652987,2.2279806,3.4677436,17.045622,0,0,0,0
2015,0,0,8.010332,2.4506412,2.2573059,3.5106735,17.36477,0,0,0,0
2016,0,0,7.9965844,2.5374146,2.2888904,3.55445,17.702461,0,0,0,0
2017,0,0,7.949676,2.6252453,2.3226633,3.5984678,18.058619,0,0,0,0
2018,0,0,7.86912,2.714564,2.3583853,3.6425047,18.433863,0,0,0,0
2019,0,0,7.7484136,2.8034658,2.3958871,3.6866467,18.829134,0,0,0,0
2020,0,0,7.4128995,2.8211105,2.434903,3.728486,19.217617,0,0,0,0
2021,0,0,7.119639,2.8540833,2.4731476,3.7617066,19.545284,0,0,0,0
2022,0,0,6.851225,2.8956747,2.5066686,3.7859943,19.831293,0,0,0,0
2023,0,0,6.5967984,2.9410496,2.53337,3.8048668,20.094893,0,0,0,0
2024,0,0,6.355498,2.9899893,2.5538976,3.8218591,20.345762,0,0,0,0
2025,0,0,6.120783,3.0400887,2.570421,3.839001,20.589647,0,0,0,0
2026,0,0,5.8903317,3.090746,2.5851455,3.856777,20.828533,0,0,0,0
2027,0,0,5.662482,3.1415079,2.5995,3.8749044,21.06344,0,0,0,0
2028,0,0,5.4360156,3.1919115,2.6141078,3.8930159,21.295341,0,0,0,0
2029,0,0,5.210069,3.2414792,2.629121,3.9109583,21.525202,0,0,0,0
2030,0,0,4.9852996,3.2906249,2.6445544,3.9288085,21.754152,0,0,0,0
2031,0,0,4.7594337,3.3377912,2.6604807,3.946771,21.98323,0,0,0,0
2032,0,0,4.5325713,3.3827028,2.6770499,3.9649527,22.212244,0,0,0,0
2033,0,0,4.304944,3.4250858,2.6943998,3.9833689,22.440916,0,0,0,0
2034,0,0,4.077783,3.465471,2.7126186,4.002027,22.669258,0,0,0,0
2035,0,0,3.8499978,3.502391,2.7317746,4.020985,22.897459,0,0,0,0
2036,0,0,3.5938787,3.5050704,2.7518132,4.039141,23.112642,0,0,0,0
2037,0,0,3.3380852,3.4905498,2.771437,4.0528493,23.286835,0,0,0,0
2038,0,0,3.148448,3.5303288,2.7877629,4.0613613,23.433718,0,0,0,0
2039,0,0,2.9614315,3.5642614,2.7998173,4.069829,23.591255,0,0,0,0
2040,0,0,2.7778375,3.5929105,2.809994,4.080775,23.751396,0,0,0,0
2041,0,0,2.5731883,3.578206,2.820688,4.091943,23.893915,0,0,0,0
2042,0,0,2.3932273,3.57555,2.8308413,4.0977545,23.990913,0,0,0,0
2043,0,0,2.233258,3.581133,2.837309,4.098659,24.067957,0,0,0,0
2044,0,0,2.0898445,3.59231,2.8388188,4.097237,24.131433,0,0,0,0
2045,0,0,1.9603915,3.6074426,2.836299,4.0952377,24.183954,0,0,0,0
2046,0,0,1.8428777,3.6254966,2.8313644,4.0932164,24.227121,0,0,0,0
2047,0,0,1.7356762,3.645709,2.825261,4.0910854,24.26252,0,0,0,0
2048,0,0,1.6374493,3.6674252,2.818598,4.0886607,24.29123,0,0,0,0
2049,0,0,1.5470897,3.6900823,2.8116043,4.085892,24.31479,0,0,0,0
