"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,AvgWeightOrProdCons

year\group,1,2,3,4,5,6,7,8,9,10,11
2000,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2001,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2002,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2003,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2004,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2005,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2006,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2007,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2008,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2009,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2010,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2011,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2012,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2013,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2014,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2015,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2016,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2017,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2018,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2019,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2020,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2021,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2022,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2023,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2024,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2025,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2026,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2027,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2028,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2029,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2030,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2031,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2032,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2033,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2034,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2035,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2036,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2037,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2038,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2039,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2040,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2041,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2042,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2043,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2044,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2045,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2046,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2047,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2048,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
2049,0.0055555557,0.01026,0.12015506,0.18741937,0.16439395,0.12582146,0.25,0.25,0.25,0,0
